"Game Code","Attendance","Duration"
0048041520080828,48119,174
0201012920080828,19732,181
0202014020080828,26913,166
0283016420080828,37583,211
0305020420080828,17494,178
0315025520080828,45706,184
0490064820080828,80616,194
0500004720080828,13068,173
0528067420080828,30223,219
0649031120080828,46617,175
0704008620080828,16656,175
0716041920080828,22307,187
0736041420080828,18398,203
0749005120080828,30633,196
0663057420080829,23164,216
0690072520080829,21822,180
0005079620080830,80910,170
0008014720080830,70097,203
0027036520080830,91922,189
0030069720080830,78691,178
0067033120080830,10788,164
0071054520080830,45063,214
0090062620080830,26851,204
0108063020080830,18730,170
0149053920080830,106577,180
0180039220080830,49119,178
0207070020080830,49887,220
0229070320080830,98053,203
0231032820080830,52112,192
0253025720080830,92746,193
0261046620080830,20078,198
0277023520080830,90575,190
0294006620080830,32318,183
0295002920080830,47511,174
0299038820080830,25661,191
0301043420080830,66441,219
0317019320080830,32571,155
0380031220080830,70585,180
0402045720080830,58000,180
0404043320080830,56127,176
0416010720080830,62956,218
0430036620080830,25224,213
0497032720080830,45150,176
0498003720080830,87451,189
0501002820080830,62707,188
0503042820080830,44029,190
0504007720080830,64108,199
0519081120080830,20430,176
0521075420080830,50830,170
0647012820080830,42126,156
0657074620080830,64947,207
0665028820080830,26555,184
0667072120080830,39180,178
0671066420080830,32792,186
0688050920080830,20015,183
0693052220080830,84715,249
0695065120080830,48058,210
0698047320080830,31583,164
0711072620080830,31613,195
0719000920080830,19672,180
0731046520080830,18815,186
0732041820080830,108421,213
0739076820080830,60566,202
0742019620080830,72169,183
0756052920080830,58778,195
0771003120080830,70537,183
0772030620080830,30067,187
0774046320080830,84485,191
0817051820080830,105011,171
0156015720080831,69619,187
0334036720080831,42696,204
0096058720080901,42508,206
0694011020080901,68546,219
0648073620080904,36850,190
0726004720080905,22517,175
0005068820080906,31808,192
0009022920080906,15143,179
0031049820080906,55048,200
0077075620080906,64611,193
0086054520080906,42494,185
0102015620080906,20051,166
0107075420080906,27906,192
0129025720080906,92746,198
