"Game Code","Play Number","Team Code","Player Code","Reception","Yards","Touchdown","1st Down","Fumble","Fumble Lost","Safety"
0500004720080828,2,500,1006293,1,9,0,0,0,0,0
0500004720080828,4,500,1006351,1,2,0,1,0,0,0
0500004720080828,6,500,1006346,1,15,0,1,0,0,0
0500004720080828,13,47,84298,1,9,0,0,0,0,0
0500004720080828,19,500,1006293,1,8,0,0,0,0,0
0500004720080828,20,500,1013640,1,6,0,1,0,0,0
0500004720080828,22,500,1006321,1,5,0,0,0,0,0
0500004720080828,28,500,1006321,1,6,0,0,0,0,0
0500004720080828,39,47,84303,1,29,0,1,0,0,0
0500004720080828,43,47,84303,1,11,0,1,0,0,0
0500004720080828,44,47,84298,1,7,0,0,0,0,0
0500004720080828,46,47,69937,1,8,1,0,0,0,0
0500004720080828,53,47,84303,1,49,1,1,0,0,0
0500004720080828,71,500,1006351,1,10,0,0,0,0,0
0500004720080828,74,47,84303,1,14,0,0,0,0,0
0500004720080828,75,47,69937,1,0,0,0,0,0,0
0500004720080828,80,500,1006346,1,16,0,1,0,0,0
0500004720080828,84,500,1006321,1,6,0,0,0,0,0
0500004720080828,84,500,1006293,0,18,0,1,0,0,0
0500004720080828,85,500,1013640,1,7,0,0,0,0,0
0500004720080828,90,47,84303,1,7,0,0,0,0,0
0500004720080828,91,47,1015504,1,20,0,1,0,0,0
0500004720080828,92,47,84303,1,20,0,1,0,0,0
0500004720080828,95,47,84303,1,12,0,1,0,0,0
0500004720080828,100,47,69954,1,5,0,0,0,0,0
0500004720080828,103,47,84298,1,8,0,1,0,0,0
0500004720080828,106,47,1000282,1,-2,0,0,0,0,0
0500004720080828,112,47,69937,1,9,0,0,0,0,0
0500004720080828,115,47,84303,1,14,0,1,0,0,0
0500004720080828,116,47,1008200,1,27,1,1,0,0,0
0500004720080828,120,500,1006293,1,9,0,0,0,0,0
0500004720080828,127,47,69937,1,17,0,1,0,0,0
0500004720080828,130,47,84303,1,15,0,1,0,0,0
0500004720080828,131,47,69937,1,11,0,1,0,0,0
0500004720080828,139,500,1006321,1,22,0,1,0,0,0
0500004720080828,141,500,1006321,1,10,0,1,0,0,0
0500004720080828,148,47,1008188,1,7,0,0,0,0,0
0500004720080828,163,500,1006321,1,40,0,1,0,0,0
0500004720080828,165,500,1013626,1,6,0,0,0,0,0
0500004720080828,166,500,1021074,1,13,0,1,0,0,0
0500004720080828,168,500,1021074,1,11,0,1,0,0,0
0500004720080828,169,500,1006302,1,2,0,0,0,0,0
0500004720080828,171,500,1013643,1,10,1,1,0,0,0
0749005120080828,2,51,1000326,1,2,0,0,0,0,0
0749005120080828,6,749,79448,1,5,0,0,0,0,0
0749005120080828,9,749,1004416,1,-1,0,0,0,0,0
0749005120080828,10,749,75902,1,3,0,0,0,0,0
0749005120080828,19,749,1004433,1,15,0,1,0,0,0
0749005120080828,21,749,1004433,1,9,0,1,0,0,0
0749005120080828,24,749,75904,1,4,0,0,0,0,0
0749005120080828,25,749,75904,1,3,0,0,0,0,0
0749005120080828,28,749,75905,1,12,1,1,0,0,0
0749005120080828,33,51,1000349,1,13,0,1,0,0,0
0749005120080828,39,749,1004433,1,7,0,1,0,0,0
0749005120080828,42,749,79448,1,7,0,0,0,0,0
0749005120080828,44,749,75904,1,5,0,0,0,0,0
0749005120080828,45,749,79448,1,14,0,1,0,0,0
0749005120080828,55,749,1011915,1,11,0,1,0,0,0
0749005120080828,57,749,75905,1,9,0,0,0,0,0
0749005120080828,66,51,1000323,1,26,0,1,0,0,0
0749005120080828,73,749,1004433,1,7,0,0,1,1,0
0749005120080828,76,51,1000326,1,9,0,0,0,0,0
0749005120080828,77,51,1000326,1,15,0,0,0,0,0
0749005120080828,85,749,75904,1,6,0,0,0,0,0
0749005120080828,87,749,79448,1,8,0,1,0,0,0
0749005120080828,89,749,75904,1,5,0,0,0,0,0
0749005120080828,105,51,1015535,1,0,0,0,0,0,0
0749005120080828,106,51,1000349,1,12,0,1,0,0,0
0749005120080828,108,749,75904,1,4,0,0,0,0,0
0749005120080828,111,749,1004416,1,6,0,1,0,0,0
0749005120080828,113,749,75904,1,6,0,0,0,0,0
0749005120080828,119,749,75905,1,8,1,1,0,0,0
0749005120080828,123,51,84377,1,2,0,0,0,0,0
0749005120080828,130,749,1011915,1,2,0,0,0,0,0
0749005120080828,134,749,79448,1,43,1,1,0,0,0
0749005120080828,137,51,84354,1,14,0,1,0,0,0
0749005120080828,138,51,1000326,1,10,0,1,0,0,0
0749005120080828,141,51,1015562,1,4,0,0,1,0,0
0749005120080828,144,51,1015535,1,21,0,1,0,0,0
