"Game Code","Play Number","Team Code","Player Code","Attempt","Yards","Touchdown","Fumble","Fumble Lost","Safety","Fair Catch"
0500004720080828,17,500,1006300,1,12,0,0,0,0,0
0500004720080828,48,500,1013626,1,20,0,0,0,0,0
0500004720080828,55,500,1013626,1,14,0,0,0,0,0
0500004720080828,68,500,1013626,1,20,0,0,0,0,0
0500004720080828,98,47,69930,1,17,0,0,0,0,0
0500004720080828,118,500,1013640,1,19,0,0,0,0,0
0500004720080828,136,500,1006300,1,16,0,0,0,0,0
0500004720080828,162,500,1013640,1,10,0,0,0,0,0
0500004720080828,173,47,1000289,1,14,0,0,0,0,0
0749005120080828,49,51,84363,1,18,0,0,0,0,0
0749005120080828,84,749,1011915,1,7,0,0,0,0,0
0749005120080828,95,51,84377,1,26,0,0,0,0,0
0749005120080828,102,749,79436,1,2,0,0,0,0,0
0749005120080828,121,51,84363,1,11,0,0,0,0,0
0749005120080828,136,51,1000313,0,0,0,0,0,0,1
0749005120080828,151,749,75915,1,20,0,0,0,0,0
0749005120080828,172,51,84363,1,44,0,0,0,0,0
0704008620080828,1,704,83471,1,10,0,0,0,0,0
0704008620080828,12,704,83471,1,37,0,0,0,0,0
0704008620080828,59,86,1000517,1,24,0,0,0,0,0
0704008620080828,83,704,77022,1,19,0,0,0,0,0
0704008620080828,89,86,1000520,1,22,0,0,0,0,0
0704008620080828,95,704,1003823,1,52,0,0,0,0,0
0704008620080828,140,704,1003823,1,16,0,0,0,0,0
0704008620080828,159,704,1003823,1,15,0,0,0,0,0
0201012920080828,11,201,1012725,1,3,0,0,0,0,0
0201012920080828,39,129,1008577,1,17,0,0,0,0,0
0201012920080828,87,201,78498,1,25,0,0,0,0,0
0201012920080828,160,201,78498,1,10,0,0,0,0,0
0202014020080828,1,202,1012762,1,16,0,0,0,0,0
0202014020080828,58,202,1012762,1,51,0,0,0,0,0
0202014020080828,81,202,1020144,1,14,0,0,0,0,0
0202014020080828,92,140,78426,1,26,0,0,0,0,0
0202014020080828,116,202,1020140,1,20,0,0,0,0,0
0202014020080828,133,140,1015916,1,23,0,0,0,0,0
0283016420080828,1,164,70616,1,27,0,0,0,0,0
0283016420080828,8,283,1020390,1,19,0,0,0,0,0
0283016420080828,75,283,1020389,1,21,0,0,0,0,0
0283016420080828,90,283,1020395,1,18,0,0,0,0,0
0283016420080828,92,283,1020389,1,74,0,1,0,0,0
0283016420080828,114,164,70615,1,6,0,0,0,0,0
0283016420080828,140,283,1020390,1,25,0,0,0,0,0
0305020420080828,2,305,78888,1,45,0,0,0,0,0
0305020420080828,21,305,1005583,1,9,0,0,0,0,0
0305020420080828,60,305,78888,1,13,0,0,0,0,0
0305020420080828,76,305,1020511,1,17,0,0,0,0,0
0305020420080828,104,204,78534,1,25,0,0,0,0,0
0305020420080828,126,305,78888,1,19,0,0,0,0,0
0305020420080828,140,305,78888,1,23,0,0,0,0,0
0305020420080828,155,305,78888,1,16,0,0,0,0,0
0305020420080828,176,305,78888,1,14,0,0,0,0,0
0315025520080828,1,315,1005612,1,21,0,0,0,0,0
0315025520080828,24,315,1005612,1,21,0,0,0,0,0
0315025520080828,35,315,1005612,1,20,0,0,0,0,0
0315025520080828,47,315,1005612,1,17,0,0,0,0,0
0315025520080828,74,315,1005612,1,21,0,0,0,0,0
0315025520080828,87,255,86921,1,7,0,1,1,0,0
0315025520080828,96,255,86921,1,0,0,0,0,0,0
0315025520080828,106,315,1005612,1,17,0,0,0,0,0
0315025520080828,144,315,1020570,1,11,0,0,0,0,0
0649031120080828,1,311,1001509,1,31,0,0,0,0,0
0649031120080828,11,649,1021453,1,18,0,0,0,0,0
0649031120080828,33,649,1021453,1,22,0,0,0,0,0
0649031120080828,59,649,1021440,1,14,0,0,0,0,0
0649031120080828,71,649,1021440,1,19,0,0,0,0,0
0649031120080828,81,649,1021440,1,25,0,0,0,0,0
0649031120080828,94,311,1001509,1,33,0,0,0,0,0
0649031120080828,107,649,1021440,1,21,0,0,0,0,0
0649031120080828,113,649,1021440,1,15,0,0,0,0,0
0649031120080828,129,649,1021505,1,17,0,0,0,0,0
0649031120080828,142,311,1016588,1,26,0,0,0,0,0
0649031120080828,146,649,1021440,1,5,0,0,0,0,0
0736041420080828,1,736,75685,1,11,0,0,0,0,0
0736041420080828,12,736,75685,1,20,0,0,0,0,0
0736041420080828,22,414,1009788,1,16,0,0,0,0,0
0736041420080828,28,414,1009788,1,20,0,0,0,0,0
0736041420080828,46,414,1009788,1,23,0,0,0,0,0
0736041420080828,65,736,75685,1,30,0,0,0,0,0
0736041420080828,70,414,1009788,1,21,0,0,0,0,0
0736041420080828,90,414,1009788,1,28,0,0,0,0,0
0736041420080828,94,414,1009788,1,31,0,0,0,0,0
0736041420080828,118,736,75685,1,23,0,0,0,0,0
0736041420080828,157,414,1009788,1,20,0,0,0,0,0
0048041520080828,1,415,1001961,1,29,0,0,0,0,0
0048041520080828,10,48,1012285,1,14,0,0,0,0,0
0048041520080828,27,48,1012285,1,12,0,0,0,0,0
0048041520080828,40,48,1012285,1,37,0,0,0,0,0
0048041520080828,56,48,1019785,1,7,0,0,0,0,0
0048041520080828,83,48,1012285,1,14,0,0,0,0,0
0048041520080828,90,48,1012285,1,20,0,0,0,0,0
0048041520080828,124,48,1012285,1,15,0,0,0,0,0
0048041520080828,141,48,1012285,1,15,0,0,0,0,0
0048041520080828,155,48,1012285,1,6,0,0,0,0,0
0716041920080828,35,716,1011463,1,7,0,0,0,0,0
0716041920080828,55,419,1002067,1,19,0,0,0,0,0
0716041920080828,83,419,1002067,1,15,0,0,0,0,0
0716041920080828,88,716,1011498,1,11,0,0,0,0,0
0716041920080828,96,419,1002067,1,33,0,0,0,0,0
0716041920080828,151,716,1011498,1,22,0,0,0,0,0
0716041920080828,161,716,1011498,1,20,0,0,0,0,0
0716041920080828,175,419,1002066,1,0,0,0,0,0,0
0490064820080828,1,648,1010915,1,23,0,0,0,0,0
0490064820080828,83,490,83012,1,13,0,0,0,0,0
0490064820080828,146,490,1017539,1,25,0,0,0,0,0
0490064820080828,158,490,1017539,1,17,0,0,0,0,0
0528067420080828,1,674,1011089,1,27,0,0,0,0,0
0528067420080828,38,674,1011089,1,25,0,0,0,0,0
0528067420080828,53,528,1010631,1,33,0,0,0,0,0
0528067420080828,66,528,1010631,1,27,0,0,0,0,0
0528067420080828,72,674,1011089,1,14,0,0,0,0,0
0528067420080828,80,528,1010631,1,17,0,0,0,0,0
0528067420080828,93,674,1011089,1,1,0,1,0,0,0
0528067420080828,95,528,1010631,1,7,0,0,0,0,0
0528067420080828,113,674,1011089,1,21,0,0,0,0,0
0528067420080828,126,528,1010631,1,20,0,0,0,0,0
0528067420080828,129,674,1011089,1,20,0,0,0,0,0
0528067420080828,139,528,1010631,1,14,0,0,0,0,0
0528067420080828,159,528,1010631,1,41,0,0,0,0,0
0528067420080828,187,674,1011108,1,21,0,0,0,0,0
