"Game Code","Play Number","Team Code","Player Code","Attempt","Yards","Touchdown","Fumble","Fumble Lost","Safety","Fair Catch"
0500004720080828,52,47,84299,1,14,0,0,0,0,0
0500004720080828,62,47,84299,1,72,0,0,0,0,0
0500004720080828,76,500,1006351,1,3,0,0,0,0,0
0500004720080828,111,47,84299,0,0,0,0,0,0,1
0500004720080828,124,47,84299,1,4,0,0,0,0,0
0500004720080828,150,500,1006293,1,3,0,0,0,0,0
0500004720080828,154,47,1015504,1,14,0,0,0,0,0
0749005120080828,54,749,75915,1,9,0,0,0,0,0
0749005120080828,62,51,1000314,1,-1,0,0,0,0,0
0749005120080828,125,749,75915,1,6,0,0,0,0,0
0749005120080828,155,51,1000314,0,0,0,0,0,0,1
0749005120080828,167,51,84365,1,0,0,1,1,0,0
0704008620080828,118,704,1003823,1,13,0,0,0,0,0
0201012920080828,18,129,1008577,1,23,0,0,0,0,0
0201012920080828,48,201,78493,0,0,0,0,0,0,1
0201012920080828,52,129,1008577,1,29,0,0,0,0,0
0201012920080828,62,129,1008577,1,12,0,0,0,0,0
0201012920080828,137,201,78498,0,0,0,0,0,0,1
0202014020080828,7,140,78451,1,10,0,0,0,0,0
0202014020080828,53,140,1015916,1,25,0,0,0,0,0
0202014020080828,74,140,78451,1,3,0,0,0,0,0
0202014020080828,120,140,1015916,1,8,0,0,0,0,0
0202014020080828,137,202,1005144,0,0,0,0,0,0,1
0202014020080828,155,140,1015916,0,0,0,0,0,0,1
0202014020080828,159,202,1005144,1,0,0,0,0,0,0
0202014020080828,163,140,1015916,0,0,0,0,0,0,1
0283016420080828,5,283,1020389,1,-15,0,1,1,0,0
0283016420080828,12,164,1008756,0,0,0,0,0,0,1
0283016420080828,38,164,1008756,1,13,0,0,0,0,0
0283016420080828,65,164,1008756,0,0,0,0,0,0,1
0283016420080828,83,164,1008756,1,29,0,0,0,0,0
0283016420080828,96,164,1008756,0,0,0,0,0,0,1
0305020420080828,27,204,1000960,0,0,0,0,0,0,1
0305020420080828,40,305,1005583,1,4,0,0,0,0,0
0305020420080828,45,204,1000960,1,13,0,0,0,0,0
0305020420080828,115,204,1000960,1,6,0,1,0,0,0
0305020420080828,144,204,1000960,1,4,0,0,0,0,0
0315025520080828,29,255,1016346,0,0,0,0,0,0,1
0315025520080828,39,255,1016346,0,0,0,0,0,0,1
0315025520080828,54,255,1016346,0,0,0,0,0,0,1
0649031120080828,26,311,1001509,1,0,0,1,1,0,0
0649031120080828,39,311,1001509,1,13,0,0,0,0,0
0649031120080828,118,311,1009292,1,16,0,0,0,0,0
0736041420080828,38,736,1004315,1,91,0,0,0,0,0
0736041420080828,55,414,1001929,0,0,0,0,0,0,1
0736041420080828,80,736,1019153,1,13,0,0,0,0,0
0736041420080828,104,736,1004315,1,-1,0,0,0,0,0
