"Game Code","Drive Number","Team Code","Start Period","Start Clock","Start Spot","Start Reason","End Period","End Clock","End Spot","End Reason","Plays","Yards","Time Of Possession","Red Zone Attempt"
0500004720080828,1,500,1,900,60,"KICKOFF",1,672,31,"PUNT",8,29,228,0
0500004720080828,2,47,1,672,80,"PUNT",1,591,0,"TOUCHDOWN",4,80,81,1
0500004720080828,3,500,1,587,84,"KICKOFF",1,72,39,"PUNT",16,45,515,1
0500004720080828,4,47,1,72,96,"PUNT",2,752,0,"TOUCHDOWN",9,96,220,1
0500004720080828,5,500,2,746,79,"KICKOFF",2,643,77,"PUNT",3,2,103,0
0500004720080828,6,47,2,643,49,"PUNT",2,633,0,"TOUCHDOWN",1,49,10,0
0500004720080828,7,500,2,627,75,"KICKOFF",2,408,49,"PUNT",6,26,219,0
0500004720080828,8,47,2,408,18,"PUNT",2,352,0,"TOUCHDOWN",4,18,56,1
0500004720080828,9,500,2,346,77,"KICKOFF",2,248,70,"PUNT",3,7,98,0
0500004720080828,10,47,2,248,77,"PUNT",2,113,69,"PUNT",3,8,135,0
0500004720080828,11,500,2,113,79,"PUNT",2,50,0,"TOUCHDOWN",9,79,63,1
0500004720080828,12,47,2,50,72,"KICKOFF",2,0,8,"FIELD GOAL",5,64,50,1
0500004720080828,13,47,3,896,57,"KICKOFF",3,654,36,"PUNT",8,21,242,0
0500004720080828,14,500,3,654,92,"PUNT",3,532,85,"PUNT",3,7,122,0
0500004720080828,15,47,3,532,60,"PUNT",3,406,0,"TOUCHDOWN",5,60,126,0
0500004720080828,16,500,3,399,80,"KICKOFF",3,255,65,"PUNT",4,15,144,0
0500004720080828,17,47,3,255,79,"PUNT",4,878,0,"TOUCHDOWN",10,79,277,1
0500004720080828,18,500,4,872,84,"KICKOFF",4,668,33,"PUNT",7,51,204,0
0500004720080828,19,47,4,668,80,"PUNT",4,526,78,"PUNT",3,2,142,0
0500004720080828,20,500,4,526,83,"PUNT",4,427,91,"PUNT",3,-8,99,0
0500004720080828,21,47,4,427,47,"PUNT",4,250,29,"FIELD GOAL",7,18,177,0
0500004720080828,22,500,4,245,81,"KICKOFF",4,38,0,"TOUCHDOWN",8,81,207,1
0500004720080828,23,47,4,32,63,"KICKOFF",4,0,52,"END OF HALF",1,11,32,0
0749005120080828,1,51,1,900,80,"KICKOFF",1,850,78,"PUNT",3,2,50,0
0749005120080828,2,749,1,850,36,"PUNT",1,739,23,"FIELD GOAL",6,13,111,0
0749005120080828,3,51,1,739,80,"KICKOFF",1,683,77,"PUNT",3,3,56,0
0749005120080828,4,749,1,683,62,"PUNT",1,420,0,"TOUCHDOWN",12,62,263,1
0749005120080828,5,51,1,420,80,"KICKOFF",1,246,59,"INTERCEPTION",6,21,174,0
0749005120080828,6,749,1,246,48,"INTERCEPTION",2,863,0,"TOUCHDOWN",11,48,283,1
0749005120080828,7,51,2,863,71,"KICKOFF",2,785,65,"PUNT",3,6,78,0
0749005120080828,8,749,2,785,83,"PUNT",2,583,63,"PUNT",7,20,202,0
0749005120080828,9,51,2,583,81,"PUNT",2,388,37,"DOWNS",8,44,195,0
0749005120080828,10,749,2,388,63,"DOWNS",2,338,56,"FUMBLE",2,7,50,0
0749005120080828,11,51,2,338,44,"FUMBLE",2,174,0,"TOUCHDOWN",8,44,164,1
0749005120080828,12,749,2,174,70,"KICKOFF",2,53,25,"FIELD GOAL",10,45,121,0
0749005120080828,13,51,2,53,74,"KICKOFF",2,12,71,"PUNT",3,3,41,0
0749005120080828,14,749,2,12,87,"PUNT",2,0,88,"END OF HALF",1,-1,12,0
0749005120080828,15,749,3,900,66,"KICKOFF",3,893,68,"FUMBLE",1,-2,7,0
0749005120080828,16,51,3,893,32,"FUMBLE",3,780,20,"FUMBLE",4,12,113,1
0749005120080828,17,749,3,780,80,"FUMBLE",3,530,51,"PUNT",7,29,250,0
0749005120080828,18,51,3,530,96,"PUNT",3,488,89,"FUMBLE",2,7,42,0
