"Game Code","Date","Visit Team Code","Home Team Code","Stadium Code","Site"
0071029520110901,09/01/2011,71,295,43,TEAM
0108002820110901,09/01/2011,108,28,10,TEAM
0334077220110901,09/01/2011,334,772,118,NEUTRAL
0430040420110901,09/01/2011,430,404,115,TEAM
0440073220110901,09/01/2011,440,732,135,TEAM
0454036720110901,09/01/2011,454,367,54,TEAM
0465079620110901,09/01/2011,465,796,141,TEAM
0469070920110901,09/01/2011,469,709,102,TEAM
0489058720110901,09/01/2011,489,587,86,TEAM
0497023120110901,09/01/2011,497,231,31,TEAM
0647012920110901,09/01/2011,647,129,70,TEAM
0739069020110901,09/01/2011,739,690,109,TEAM
0749068820110901,09/01/2011,749,688,92,TEAM
0769025520110901,09/01/2011,769,255,37,TEAM
0698005120110902,09/02/2011,698,51,132,TEAM
0817041620110902,09/02/2011,817,416,68,TEAM
0005051820110903,09/03/2011,5,518,99,TEAM
0027074220110903,09/03/2011,27,742,136,TEAM
0030030120110903,09/03/2011,30,301,44,TEAM
0043014020110903,09/03/2011,43,140,97,TEAM
0048012820110903,09/03/2011,48,128,146,TEAM
0066025720110903,09/03/2011,66,257,38,NEUTRAL
0077043320110903,09/03/2011,77,433,76,TEAM
0086054520110903,09/03/2011,86,545,110,TEAM
0090062620110903,09/03/2011,90,626,16,TEAM
0096010720110903,09/03/2011,96,107,161,NEUTRAL
0102052820110903,09/03/2011,102,528,107,TEAM
0110028820110903,09/03/2011,110,288,126,TEAM
0156047320110903,09/03/2011,156,473,87,TEAM
0157027720110903,09/03/2011,157,277,39,TEAM
0180072620110903,09/03/2011,180,726,62,TEAM
0196064820110903,09/03/2011,196,648,79,NEUTRAL
0202032720110903,09/03/2011,202,327,52,TEAM
0207075620110903,09/03/2011,207,756,139,TEAM
0229023520110903,09/03/2011,229,235,27,TEAM
0236016420110903,09/03/2011,236,164,25,TEAM
0294075420110903,09/03/2011,294,754,138,TEAM
0305053920110903,09/03/2011,305,539,111,TEAM
0306004720110903,09/03/2011,306,47,162,NEUTRAL
0317045720110903,09/03/2011,317,457,78,TEAM
0331000820110903,09/03/2011,331,8,5,TEAM
0355049020110903,09/03/2011,355,490,82,TEAM
0366066420110903,09/03/2011,366,664,75,TEAM
0402032820110903,09/03/2011,402,328,51,TEAM
0414043420110903,09/03/2011,414,434,73,TEAM
0419055920110903,09/03/2011,419,559,50,TEAM
0428065720110903,09/03/2011,428,657,14,TEAM
0441069420110903,09/03/2011,441,694,114,TEAM
0498023420110903,09/03/2011,498,234,33,TEAM
0501002920110903,09/03/2011,501,29,11,TEAM
0504031120110903,09/03/2011,504,311,40,TEAM
0509006720110903,09/03/2011,509,67,61,TEAM
0519047220110903,09/03/2011,519,472,88,TEAM
0529036520110903,09/03/2011,529,365,155,NEUTRAL
0574070320110903,09/03/2011,574,703,119,TEAM
0575019320110903,09/03/2011,575,193,80,TEAM
0630067420110903,09/03/2011,630,674,19,TEAM
0650072120110903,09/03/2011,650,721,21,TEAM
0651051320110903,09/03/2011,651,513,49,TEAM
0655071820110903,09/03/2011,655,718,58,TEAM
0669003120110903,09/03/2011,669,31,6,TEAM
0670070020110903,09/03/2011,670,700,129,TEAM
0671052120110903,09/03/2011,671,521,104,TEAM
0683070420110903,09/03/2011,683,704,124,TEAM
0692031220110903,09/03/2011,692,312,41,TEAM
0693046320110903,09/03/2011,693,463,84,TEAM
0716014720110903,09/03/2011,716,147,112,TEAM
0719052220110903,09/03/2011,719,522,103,TEAM
0725050320110903,09/03/2011,725,503,45,TEAM
0731003720110903,09/03/2011,731,37,1,TEAM
0758081120110903,09/03/2011,758,811,144,TEAM
0774041820110903,09/03/2011,774,418,66,TEAM
0786074620110903,09/03/2011,786,746,137,TEAM
1068073620110903,09/03/2011,1068,736,117,TEAM
0290020420110904,09/04/2011,290,204,71,TEAM
0388076820110904,09/04/2011,388,768,143,TEAM
0663069720110904,09/04/2011,663,697,120,TEAM
0415039220110905,09/05/2011,415,392,64,TEAM
0029052120110908,09/08/2011,29,521,104,TEAM
0231036720110909,09/09/2011,231,367,54,TEAM
0434002820110909,09/09/2011,434,28,10,TEAM
0007020420110910,09/10/2011,7,204,71,TEAM
0008053920110910,09/10/2011,8,539,111,TEAM
0009023520110910,09/10/2011,9,235,27,TEAM
0047065120110910,09/10/2011,47,651,35,TEAM
0048023420110910,09/10/2011,48,234,33,TEAM
0067012820110910,09/10/2011,67,128,146,TEAM
0077070320110910,09/10/2011,77,703,119,TEAM
0096046320110910,09/10/2011,96,463,84,TEAM
0107015720110910,09/10/2011,107,157,20,TEAM
0129033420110910,09/10/2011,129,334,53,TEAM
0140069420110910,09/10/2011,140,694,114,TEAM
0164073620110910,09/10/2011,164,736,117,TEAM
0201050920110910,09/10/2011,201,509,46,TEAM
0229041620110910,09/10/2011,229,416,68,TEAM
0255041920110910,09/10/2011,255,419,116,TEAM
0261049820110910,09/10/2011,261,498,57,TEAM
0277075620110910,09/10/2011,277,756,139,TEAM
0288049720110910,09/10/2011,288,497,160,TEAM
0312031120110910,09/10/2011,312,311,40,TEAM
0380054520110910,09/10/2011,380,545,110,TEAM
0404003020110910,09/10/2011,404,30,7,TEAM
0430003720110910,09/10/2011,430,37,1,TEAM
0446007120110910,09/10/2011,446,71,96,TEAM
0465075420110910,09/10/2011,465,754,138,TEAM
