"Team Code","Game Code","Rush Att","Rush Yard","Rush TD","Pass Att","Pass Comp","Pass Yard","Pass TD","Pass Int","Pass Conv","Kickoff Ret","Kickoff Ret Yard","Kickoff Ret TD","Punt Ret","Punt Ret Yard","Punt Ret TD","Fum Ret","Fum Ret Yard","Fum Ret TD","Int Ret","Int Ret Yard","Int Ret TD","Misc Ret","Misc Ret Yard","Misc Ret TD","Field Goal Att","Field Goal Made","Off XP Kick Att","Off XP Kick Made","Off 2XP Att","Off 2XP Made","Def 2XP Att","Def 2XP Made","Safety","Points","Punt","Punt Yard","Kickoff","Kickoff Yard","Kickoff Touchback","Kickoff Out-Of-Bounds","Kickoff Onside","Fumble","Fumble Lost","Tackle Solo","Tackle Assist","Tackle For Loss","Tackle For Loss Yard","Sack","Sack Yard","QB Hurry","Fumble Forced","Pass Broken Up","Kick/Punt Blocked","1st Down Rush","1st Down Pass","1st Down Penalty","Time Of Possession","Penalty","Penalty Yard","Third Down Att","Third Down Conv","Fourth Down Att","Fourth Down Conv","Red Zone Att","Red Zone TD","Red Zone Field Goal"
5,0005051820110903,27,35,0,19,7,55,0,1,0,5,92,0,2,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,442,1,65,0,0,0,1,0,47,34,0.0,0,0.0,0,0,1,4,0,3,2,0,1430,4,35,13,2,1,1,0,0,0
5,0690000520110910,28,42,0,34,16,227,0,1,0,7,122,0,1,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,6,219,2,112,0,0,0,2,1,33,36,3.0,6,0.0,0,0,2,3,0,3,9,1,1761,8,60,14,3,4,1,0,0,0
5,0005014020110917,34,129,0,36,17,220,2,4,0,8,161,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,14,6,240,3,155,0,1,0,3,2,30,52,4.0,5,0.0,0,2,0,2,1,7,9,1,1815,9,78,14,3,1,1,2,1,0
5,0741000520110924,52,294,2,29,14,240,3,0,0,3,67,0,1,-10,0,1,24,0,0,0,0,0,0,0,2,1,4,3,1,0,0,0,0,36,4,159,7,319,0,0,0,1,0,28,30,5.0,28,3.0,24,0,1,7,0,14,12,3,2264,9,51,11,3,1,0,7,4,1
5,0005020420111001,34,139,1,29,15,163,2,0,0,3,60,0,1,11,0,0,0,0,0,0,0,0,0,0,2,1,3,2,0,0,0,0,0,23,5,162,5,275,1,0,0,1,1,18,76,5.0,17,1.0,7,1,1,1,0,9,8,0,1615,6,47,15,3,4,3,4,2,1
5,0231000520111008,31,105,2,23,11,157,0,1,0,6,147,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,2,2,0,0,0,0,0,17,6,283,4,223,0,1,0,2,1,40,56,4.0,17,1.0,12,0,1,1,0,4,7,3,1497,5,35,12,5,0,0,3,2,0
5,0519000520111022,35,81,0,33,17,168,2,0,0,6,110,0,0,0,0,1,30,0,1,0,0,0,0,0,2,2,2,2,0,0,0,0,0,20,7,271,5,225,0,0,0,2,1,42,50,3.0,7,0.0,0,0,0,0,0,5,8,5,1818,6,56,15,4,2,2,3,2,1
5,0129000520111029,33,138,1,41,26,269,2,1,0,5,65,0,4,33,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,0,0,22,8,305,4,218,0,0,0,0,0,37,28,4.0,15,2.0,10,0,0,3,0,9,13,0,1788,3,35,19,7,3,3,2,1,1
5,0005041420111103,35,111,0,32,7,90,0,1,0,6,95,0,1,-1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,8,302,2,111,0,0,0,2,1,40,30,2.0,8,1.0,6,2,0,2,0,6,5,1,1558,3,23,17,5,3,2,1,0,1
5,0331000520111112,27,58,0,40,19,165,0,0,0,2,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,7,226,2,130,1,0,0,1,1,36,44,5.0,12,2.0,8,0,0,1,2,4,9,0,1478,3,39,16,4,4,0,0,0,0
5,0005008620111119,29,68,0,35,17,171,1,1,0,5,72,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,10,8,250,3,189,0,0,0,1,1,55,24,3.0,13,0.0,0,2,1,1,0,5,8,0,1638,2,30,16,6,0,0,2,0,1
5,0005077420111125,48,173,1,25,5,35,0,1,0,6,74,0,0,0,0,1,72,1,0,0,0,0,0,0,1,1,2,2,0,0,0,0,1,19,9,319,5,242,0,0,0,6,4,37,42,5.0,14,0.0,0,2,2,3,0,12,1,4,2017,5,34,18,5,1,0,2,1,1
8,0331000820110903,35,183,5,37,21,299,1,4,0,2,63,0,11,148,0,0,0,0,1,0,0,0,0,0,3,2,6,6,0,0,0,0,0,48,3,127,9,580,0,0,0,4,1,34,40,7.0,54,4.0,31,5,0,8,0,10,14,0,1793,2,10,10,2,0,0,6,4,2
8,0008053920110910,41,196,2,31,19,163,1,0,0,2,40,0,2,43,0,0,0,0,1,0,0,0,0,0,2,2,3,3,0,0,0,0,0,27,6,223,6,372,0,0,0,0,0,32,28,1.0,1,0.0,0,0,2,10,0,10,9,0,2045,3,35,17,8,1,1,5,3,2
8,0497000820110917,33,347,5,29,21,239,0,0,0,1,20,0,6,56,0,0,0,0,0,0,0,1,1,0,4,2,5,5,0,0,0,0,0,41,1,35,8,512,0,0,0,2,2,36,30,7.0,16,0.0,0,6,0,8,1,9,14,2,1667,2,19,11,6,0,0,5,1,2
8,0031000820110924,39,197,1,20,15,200,2,0,0,1,24,0,4,125,1,0,0,0,2,25,1,0,0,0,1,1,5,5,0,0,0,0,0,38,6,225,7,430,1,0,0,0,0,34,28,10.0,41,1.0,10,4,0,6,0,7,9,0,1971,5,55,13,5,1,1,2,1,1
8,0008023520111001,43,226,4,25,12,140,0,0,0,3,123,0,2,0,0,0,0,0,1,45,1,0,0,0,1,1,5,5,0,0,0,0,0,38,5,199,7,450,0,1,0,0,0,39,10,11.0,54,4.0,33,3,2,5,0,14,6,1,2081,3,29,13,7,0,0,4,3,1
8,0736000820111008,43,153,1,33,26,266,4,0,0,1,3,0,3,2,0,0,0,0,2,39,0,0,0,0,0,0,5,4,0,0,0,0,0,34,3,118,6,371,0,0,0,2,0,27,20,7.0,17,1.0,2,1,0,3,0,9,14,1,2174,2,15,17,12,2,0,5,4,0
8,0008043320111015,42,389,6,25,20,226,1,0,0,2,43,0,2,16,0,0,0,0,1,30,0,0,0,0,2,1,7,7,0,0,0,0,0,52,1,44,9,534,0,0,0,0,0,38,16,14.0,52,5.0,34,0,1,1,0,17,10,0,2036,5,35,12,7,1,1,7,5,1
8,0694000820111022,38,143,3,28,18,294,1,1,0,3,36,0,1,4,0,0,0,0,1,29,0,0,0,0,3,3,4,4,0,0,0,0,0,37,2,81,8,523,1,0,0,1,0,28,42,4.0,12,2.0,9,3,2,6,0,6,13,0,1938,5,38,14,7,2,1,7,3,2
8,0365000820111105,31,96,0,29,16,199,0,2,0,2,49,0,0,0,0,0,0,0,2,14,0,0,0,0,6,2,0,0,0,0,0,0,0,6,2,79,3,186,0,0,0,1,0,31,46,5.0,8,1.0,3,5,0,0,0,8,7,2,1806,6,33,13,5,0,0,1,0,1
8,0008043020111112,44,223,3,24,14,163,0,1,0,1,23,0,2,21,0,0,0,0,0,0,0,0,0,0,3,1,3,3,0,0,0,0,0,24,4,149,5,293,0,0,0,1,0,27,40,9.0,40,5.0,33,2,0,5,0,12,7,1,2090,6,40,11,2,2,1,4,2,1
8,0253000820111119,49,272,2,19,14,190,3,0,0,3,74,0,1,4,0,0,0,0,0,0,0,1,75,1,2,1,6,6,0,0,0,0,0,45,0,0,8,489,1,0,0,0,0,29,28,3.0,9,0.0,0,2,1,2,1,15,11,2,1957,6,35,10,7,1,1,5,4,1
8,0008003720111126,35,213,1,23,18,184,3,0,1,0,0,0,2,21,0,0,0,0,1,35,1,0,0,0,2,2,4,4,1,1,0,0,0,42,3,121,8,484,2,0,0,1,1,38,18,7.0,30,3.0,17,4,1,1,0,8,9,2,1898,3,20,13,7,1,1,4,2,2
8,0008036520120109,35,150,1,34,23,234,0,0,0,1,32,0,3,67,0,1,0,0,1,1,0,0,0,0,7,5,1,0,0,0,0,0,0,21,3,133,6,400,0,0,0,0,0,37,16,11.0,39,4.0,26,0,1,1,0,9,12,0,2126,1,5,14,3,2,2,3,0,3
9,0009023520110910,23,71,0,29,15,141,0,0,0,6,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,247,2,86,0,1,0,3,1,47,20,8.0,17,0.0,0,1,1,1,0,5,5,1,1411,9,55,10,1,3,0,0,0,0
9,0718000920110917,17,48,0,28,10,145,0,3,0,8,231,1,1,9,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,10,4,171,3,184,0,0,0,1,0,46,38,5.0,13,0.0,0,0,1,0,0,3,6,1,1083,3,25,10,3,1,0,2,0,1
9,0009019620110924,33,117,2,48,31,283,0,1,0,5,96,0,0,0,0,0,0,0,3,35,1,0,0,0,1,1,2,2,1,0,0,0,0,23,4,171,5,302,0,0,0,3,2,44,38,2.0,15,1.0,13,2,4,1,0,8,13,3,1936,0,0,17,8,1,0,5,2,1
9,0009071620111001,39,160,1,39,19,196,0,1,0,1,21,0,3,100,0,1,6,0,1,52,1,0,0,0,4,3,2,2,0,0,0,0,0,23,7,302,6,370,0,1,0,2,0,48,36,4.0,8,0.0,0,1,0,4,0,7,9,2,1922,5,42,19,5,2,1,4,1,3
9,0430000920111008,35,145,0,36,18,195,0,1,0,3,61,0,2,14,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,3,6,230,2,122,0,0,0,1,1,54,14,7.0,35,2.0,19,0,0,2,0,10,9,0,1816,7,79,15,6,1,0,2,0,1
9,0009071920111015,27,81,0,44,21,298,2,2,0,8,131,0,1,4,0,0,0,0,1,0,0,0,0,0,2,2,2,2,0,0,0,0,0,20,10,411,4,253,0,0,0,0,0,55,42,4.0,20,3.0,19,1,3,2,0,3,12,4,1720,8,65,15,3,0,0,2,0,1
