"Team Code","Game Code","Rush Att","Rush Yard","Rush TD","Pass Att","Pass Comp","Pass Yard","Pass TD","Pass Int","Pass Conv","Kickoff Ret","Kickoff Ret Yard","Kickoff Ret TD","Punt Ret","Punt Ret Yard","Punt Ret TD","Fum Ret","Fum Ret Yard","Fum Ret TD","Int Ret","Int Ret Yard","Int Ret TD","Misc Ret","Misc Ret Yard","Misc Ret TD","Field Goal Att","Field Goal Made","Off XP Kick Att","Off XP Kick Made","Off 2XP Att","Off 2XP Made","Def 2XP Att","Def 2XP Made","Safety","Points","Punt","Punt Yard","Kickoff","Kickoff Yard","Kickoff Touchback","Kickoff Out-Of-Bounds","Kickoff Onside","Fumble","Fumble Lost","Tackle Solo","Tackle Assist","Tackle For Loss","Tackle For Loss Yard","Sack","Sack Yard","QB Hurry","Fumble Forced","Pass Broken Up","Kick/Punt Blocked","1st Down Rush","1st Down Pass","1st Down Penalty","Time Of Possession","Penalty","Penalty Yard","Third Down Att","Third Down Conv","Fourth Down Att","Fourth Down Conv","Red Zone Att","Red Zone TD","Red Zone Field Goal"
5,0725000520070901,35,133,0,29,17,154,1,0,0,3,82,0,3,96,0,0,0,0,2,76,1,0,0,0,4,3,2,1,0,0,0,0,0,22,6,179,6,341,0,0,0,0,0,53,10,9.0,37,4.0,23,0,2,6,0,7,8,3,1682,6,40,12,2,0,0,4,1,3
5,0005051820070908,19,3,0,32,17,66,0,0,0,4,73,0,1,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,14,575,1,68,0,0,0,2,1,47,28,6.0,16,1.0,7,0,3,3,0,0,3,0,1597,5,40,16,2,0,0,0,0,0
5,0005030620070915,41,120,1,27,19,250,2,1,0,5,125,0,1,5,0,0,0,0,1,0,0,0,0,0,1,1,3,3,0,0,0,0,0,24,5,158,5,267,0,1,0,3,1,56,24,11.0,44,0.0,0,0,1,0,0,9,11,4,1742,6,60,13,6,1,0,2,1,1
5,0331000520070922,50,133,2,23,9,112,1,1,0,4,117,0,1,10,0,0,0,0,2,43,0,0,0,0,2,2,3,3,0,0,0,0,0,27,9,317,6,375,2,0,0,1,1,48,14,6.0,25,3.0,15,0,2,5,0,7,7,2,1912,10,98,18,5,1,1,4,2,2
5,0005016420070929,38,106,0,31,19,145,1,1,0,6,160,0,2,53,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,10,8,324,3,200,0,0,0,0,0,27,60,2.0,7,0.0,0,0,0,1,0,7,5,3,1780,7,50,18,7,1,0,4,1,1
5,0005077420071006,31,112,0,41,23,389,4,1,0,8,173,1,3,31,0,1,5,0,0,0,0,0,0,0,2,1,4,4,0,0,0,0,1,39,2,96,6,342,0,1,0,5,2,53,36,7.0,48,2.0,21,0,2,7,0,8,14,0,1587,8,68,16,9,2,0,4,1,1
5,0690000520071013,37,152,0,21,12,145,2,2,0,5,135,0,0,0,0,0,0,0,2,25,0,0,0,0,2,2,2,2,0,0,0,0,0,20,6,185,5,291,0,0,0,2,0,46,20,5.0,24,3.0,18,0,0,5,0,9,6,0,1616,7,71,13,5,0,0,2,1,1
5,0005008620071027,39,142,1,39,19,185,0,2,0,4,122,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,1,0,0,10,4,156,2,69,0,0,0,3,1,43,24,8.0,29,3.0,15,0,0,0,0,10,10,1,1660,3,13,17,7,4,0,5,1,1
5,0005007120071102,46,243,1,31,14,192,1,2,0,9,144,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,20,1,37,4,241,0,0,1,2,2,45,38,6.0,17,1.0,2,2,1,4,0,15,8,2,1711,8,61,16,8,2,0,6,1,2
5,0519000520071107,35,181,3,28,17,242,2,1,0,7,169,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,6,0,0,0,0,0,48,4,148,9,531,1,0,0,2,1,40,24,8.0,24,3.0,15,0,0,8,0,7,10,1,1818,8,55,11,3,1,1,3,3,0
5,0005041420071114,36,100,0,34,12,116,0,2,0,2,38,0,4,29,0,0,0,0,3,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,386,1,67,0,0,0,1,1,49,12,4.0,7,0.0,0,1,1,5,0,7,7,0,1775,8,46,16,3,2,1,1,0,0
5,0129000520071123,32,113,3,38,23,210,1,1,0,3,24,0,1,-1,0,1,64,1,2,0,0,0,0,0,0,0,3,2,2,0,0,0,0,32,7,255,6,356,3,0,0,3,1,52,16,2.0,5,1.0,3,0,1,10,0,3,12,4,1903,8,55,17,8,1,0,2,2,0
8,0769000820070901,44,313,6,34,25,262,1,0,0,3,92,0,3,36,0,0,0,0,0,0,0,0,0,0,3,1,7,7,0,0,0,0,0,52,1,40,9,519,1,0,0,0,0,34,46,10.0,47,2.0,22,2,3,2,0,16,17,2,1691,5,42,10,6,0,0,6,4,1
8,0008073620070908,48,221,2,28,14,150,0,1,1,3,59,0,3,79,0,0,0,0,1,0,0,0,0,0,5,3,1,1,1,1,0,0,0,24,5,208,5,269,0,0,0,2,0,49,11,4.0,22,2.0,18,9,2,4,0,12,8,2,2027,6,40,15,6,0,0,5,2,3
8,0031000820070915,34,123,1,45,24,327,4,2,0,4,83,0,6,79,0,0,0,0,1,6,0,0,0,0,3,2,5,5,0,0,0,0,0,41,5,181,8,448,1,1,0,2,1,44,42,7.0,10,0.0,0,0,1,4,0,6,14,4,1773,7,63,16,7,0,0,6,4,1
8,0257000820070922,35,164,2,35,17,185,0,0,0,5,80,0,1,9,0,0,0,0,2,33,0,0,0,0,3,3,2,2,0,0,0,0,0,23,7,270,4,235,0,0,0,1,1,39,40,5.0,12,0.0,0,4,0,3,0,9,7,2,1538,4,39,15,3,1,0,3,2,1
8,0008023420070929,27,89,0,53,28,240,2,0,0,1,9,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,2,2,0,0,0,0,0,14,10,369,2,112,0,0,1,2,1,35,30,6.0,13,1.0,6,0,0,2,0,9,10,0,1738,4,20,20,6,3,2,2,2,0
8,0288000820071006,46,190,2,27,15,157,2,1,0,3,59,0,2,6,0,1,1,0,2,28,0,0,0,0,0,0,4,4,0,0,0,0,1,30,7,280,5,316,0,0,0,1,0,44,36,8.0,37,5.0,29,6,0,3,0,10,8,3,1829,7,69,15,6,1,1,2,2,0
8,0008043320071013,40,113,3,40,26,265,0,1,0,5,98,0,2,71,0,0,0,0,3,28,0,0,0,0,3,2,3,3,0,0,0,0,0,27,3,86,6,393,1,0,0,2,1,42,26,7.0,27,4.0,21,0,1,5,0,10,15,2,1801,3,19,16,9,1,0,8,3,2
