"Game Code","Date","Visit Team Code","Home Team Code","Stadium Code","Site"
0086058720070830,08/30/2007,86,587,86,TEAM
0331031120070830,08/30/2007,331,311,40,TEAM
0365043020070830,08/30/2007,365,430,77,TEAM
0414004720070830,08/30/2007,414,47,48,TEAM
0454036720070830,08/30/2007,454,367,54,TEAM
0465073120070830,08/30/2007,465,731,133,TEAM
0654014020070830,08/30/2007,654,140,97,TEAM
0655047220070830,08/30/2007,655,472,88,TEAM
0719049820070830,08/30/2007,719,498,57,TEAM
0732052820070830,08/30/2007,732,528,107,TEAM
0758006620070830,08/30/2007,758,66,42,TEAM
0726069020070831,08/31/2007,726,690,109,TEAM
0756068820070831,08/31/2007,756,688,92,TEAM
0009041620070901,09/01/2007,9,416,68,TEAM
0027041820070901,09/01/2007,27,418,66,TEAM
0029007720070901,09/01/2007,29,77,134,TEAM
0030070320070901,09/01/2007,30,703,119,TEAM
0051069820070901,09/01/2007,51,698,125,TEAM
0071042820070901,09/01/2007,71,428,72,TEAM
0102009620070901,09/01/2007,102,96,13,TEAM
0110067420070901,09/01/2007,110,674,19,TEAM
0128049020070901,09/01/2007,128,490,82,TEAM
0129032820070901,09/01/2007,129,328,51,TEAM
0156015720070901,09/01/2007,156,157,22,NEUTRAL
0164019320070901,09/01/2007,164,193,80,TEAM
0196074220070901,09/01/2007,196,742,136,TEAM
0202033420070901,09/01/2007,202,334,53,TEAM
0204054520070901,09/01/2007,204,545,110,TEAM
0231053920070901,09/01/2007,231,539,111,TEAM
0255051320070901,09/01/2007,255,513,49,TEAM
0288052920070901,09/01/2007,288,529,108,TEAM
0295065720070901,09/01/2007,295,657,14,TEAM
0305030620070901,09/01/2007,305,306,47,TEAM
0312050320070901,09/01/2007,312,503,147,NEUTRAL
0317045720070901,09/01/2007,317,457,78,TEAM
0327003720070901,09/01/2007,327,37,1,TEAM
0388041520070901,09/01/2007,388,415,29,TEAM
0419022920070901,09/01/2007,419,229,26,TEAM
0433040420070901,09/01/2007,433,404,115,TEAM
0434030120070901,09/01/2007,434,301,149,NEUTRAL
0440069720070901,09/01/2007,440,697,120,TEAM
0466046320070901,09/01/2007,466,463,84,TEAM
0473070420070901,09/01/2007,473,704,124,TEAM
0483057420070901,09/01/2007,483,574,127,TEAM
0497052220070901,09/01/2007,497,522,103,TEAM
0500050920070901,09/01/2007,500,509,46,TEAM
0502027720070901,09/01/2007,502,277,39,TEAM
0521025720070901,09/01/2007,521,257,36,TEAM
0559070920070901,09/01/2007,559,709,102,TEAM
0575073620070901,09/01/2007,575,736,117,TEAM
0630002820070901,09/01/2007,630,28,10,TEAM
0647072120070901,09/01/2007,647,721,21,TEAM
0671064820070901,09/01/2007,671,648,113,TEAM
0694010720070901,09/01/2007,694,107,12,TEAM
0695066420070901,09/01/2007,695,664,75,TEAM
0716003120070901,09/01/2007,716,31,6,TEAM
0725000520070901,09/01/2007,725,5,98,NEUTRAL
0739039220070901,09/01/2007,739,392,64,TEAM
0746081120070901,09/01/2007,746,811,144,TEAM
0749006720070901,09/01/2007,749,67,61,TEAM
0754079620070901,09/01/2007,754,796,141,TEAM
