"Game Code","Play Number","Team Code","Player Code","Attempt","Yards","Fair Catch","Touchback","Downed","Out Of Bounds","Onside","Onside Success"
0497004720090903,1,497,1017574,1,70,0,1,0,0,0,0
0497004720090903,16,497,1017574,1,70,0,0,0,0,0,0
0497004720090903,83,497,1017574,1,59,0,0,0,0,0,0
0497004720090903,93,47,1000305,1,70,0,0,0,0,0,0
0497004720090903,115,47,1000305,1,63,0,0,0,0,0,0
0497004720090903,148,47,1000305,1,61,0,0,0,0,0,0
0497004720090903,155,497,1017574,1,72,0,0,0,0,0,0
0497004720090903,164,497,1017574,1,61,0,0,0,0,0,0
0529006620090903,1,66,1008280,1,61,0,0,0,0,0,0
0529006620090903,58,66,1008280,1,57,0,0,0,0,0,0
0529006620090903,70,529,1017954,1,64,0,0,0,0,0,0
0529006620090903,81,66,1008280,1,68,0,0,0,0,0,0
0529006620090903,88,529,1017954,1,66,0,0,0,0,0,0
0529006620090903,99,66,1008280,1,63,0,0,0,0,0,0
0529006620090903,118,529,1017954,1,68,0,0,0,0,0,0
0716007120090903,1,71,1023298,1,70,0,1,0,0,0,0
0716007120090903,10,716,1011465,1,67,0,0,0,0,0,0
0716007120090903,60,716,1011465,1,70,0,0,0,0,0,0
0716007120090903,75,71,1023298,1,55,0,0,0,0,0,0
0716007120090903,86,716,1011465,1,70,0,0,0,0,0,0
0716007120090903,117,71,1023298,1,44,0,0,0,0,0,0
0716007120090903,144,71,1023298,1,44,0,0,0,0,0,0
0716007120090903,155,71,1023298,1,37,0,0,0,0,0,0
0716007120090903,173,71,1023298,1,65,0,0,0,0,0,0
0202030620090903,1,202,1012769,1,67,0,0,0,0,0,0
0202030620090903,13,202,1012769,1,72,0,0,0,0,0,0
0202030620090903,23,306,1024235,1,66,0,0,0,0,0,0
0202030620090903,29,202,1012769,1,48,1,0,0,0,0,0
0202030620090903,53,306,1024235,1,65,0,0,0,0,0,0
0202030620090903,70,306,1024235,1,65,0,0,0,0,0,0
0202030620090903,86,202,1012769,1,53,0,0,0,0,0,0
0202030620090903,88,306,1024235,1,65,0,0,0,0,0,0
0202030620090903,109,202,1012769,1,50,0,0,0,1,0,0
0493031120090903,1,493,1013589,1,68,0,0,0,0,0,0
0493031120090903,12,311,1016587,1,61,0,0,0,0,0,0
0493031120090903,47,311,1016587,1,66,0,0,0,0,0,0
0493031120090903,73,493,1006215,1,65,0,0,0,0,0,0
0493031120090903,81,311,1016587,1,61,0,0,0,0,0,0
0493031120090903,91,493,1006215,1,68,0,0,0,0,0,0
0493031120090903,98,311,1016587,1,58,0,0,0,0,0,0
0493031120090903,113,311,1016587,1,59,0,0,0,0,0,0
0493031120090903,125,493,1006215,1,42,0,0,0,0,0,0
0493031120090903,133,311,1016587,1,54,0,0,0,0,0,0
0493031120090903,157,311,1016587,1,68,0,0,0,0,0,0
0149033120090903,1,331,1024402,1,60,0,0,0,1,0,0
0149033120090903,32,149,1027491,1,61,0,0,0,0,0,0
0149033120090903,99,149,1027491,1,70,0,1,0,0,0,0
0149033120090903,117,331,1024402,1,60,0,0,0,0,0,0
0149033120090903,151,331,1024402,1,55,0,0,0,0,0,0
0149033120090903,176,149,1027491,1,68,0,0,0,0,0,0
0648049020090903,1,490,1002566,1,66,0,0,0,0,0,0
0648049020090903,15,648,1025960,1,70,0,0,0,0,0,0
0648049020090903,78,648,1025960,1,69,0,0,0,0,0,0
0648049020090903,114,490,1002566,1,63,0,0,0,0,0,0
0739069020090903,1,690,1026199,1,63,0,0,0,0,0,0
0739069020090903,65,690,1026199,1,69,0,0,0,0,0,0
0739069020090903,76,690,1026199,1,61,0,0,0,0,0,0
0739069020090903,83,739,1022175,1,62,0,0,0,0,0,0
0739069020090903,87,739,1022175,1,70,0,0,0,0,0,0
0739069020090903,110,690,1026199,1,67,0,0,0,0,0,0
0739069020090903,119,739,1022175,1,70,0,0,0,0,0,0
0739069020090903,123,690,1026199,1,67,0,0,0,0,0,0
0739069020090903,134,739,1022175,1,58,0,0,0,0,0,0
0739069020090903,156,739,1022175,1,60,0,0,0,0,0,0
0731073220090903,1,732,83823,1,68,0,0,0,0,0,0
0731073220090903,11,731,1011737,1,70,0,1,0,0,0,0
0731073220090903,21,732,83823,1,64,0,0,0,0,0,0
0731073220090903,34,732,83823,1,69,0,0,0,0,0,0
0731073220090903,38,731,1011737,1,66,0,0,0,0,0,0
0731073220090903,51,732,83823,1,70,0,1,0,0,0,0
0731073220090903,73,731,1011737,1,69,0,0,0,0,0,0
0731073220090903,82,732,83823,1,70,0,1,0,0,0,0
0731073220090903,95,731,1011737,1,70,0,1,0,0,0,0
0731073220090903,98,731,1011737,1,66,0,0,0,0,0,0
0731073220090903,124,732,83823,1,70,0,1,0,0,0,0
0731073220090903,183,731,1011737,1,69,0,0,0,0,0,0
1004027720090904,1,1004,1022487,1,70,0,0,0,0,0,0
1004027720090904,9,1004,1022487,1,70,0,0,0,0,0,0
1004027720090904,23,1004,1022487,1,70,0,0,0,0,0,0
1004027720090904,55,1004,1022487,1,70,0,0,0,0,0,0
1004027720090904,75,277,1024053,1,51,0,0,0,1,0,0
1004027720090904,85,277,1024053,1,61,0,0,0,0,0,0
1004027720090904,100,277,1024053,1,70,0,1,0,0,0,0
1004027720090904,116,277,1024053,1,66,0,0,0,0,0,0
