"Game Code","Date","Visit Team Code","Home Team Code","Stadium Code","Site"
0149033120090903,09/03/2009,149,331,100,TEAM
0202030620090903,09/03/2009,202,306,47,TEAM
0493031120090903,09/03/2009,493,311,40,TEAM
0497004720090903,09/03/2009,497,47,48,TEAM
0529006620090903,09/03/2009,529,66,42,TEAM
0648049020090903,09/03/2009,648,490,82,TEAM
0716007120090903,09/03/2009,716,71,96,TEAM
0731073220090903,09/03/2009,731,732,135,TEAM
0739069020090903,09/03/2009,739,690,109,TEAM
0719071820090904,09/04/2009,719,718,58,TEAM
1004027720090904,09/04/2009,1004,277,39,TEAM
0005053920090905,09/05/2009,5,539,111,TEAM
0008074220090905,09/05/2009,8,742,38,NEUTRAL
0017066420090905,09/05/2009,17,664,75,TEAM
0027019620090905,09/05/2009,27,196,81,TEAM
0048023520090905,09/05/2009,48,235,27,TEAM
0051074920090905,09/05/2009,51,749,83,TEAM
0077052220090905,09/05/2009,77,522,155,NEUTRAL
0086070420090905,09/05/2009,86,704,124,TEAM
0102046520090905,09/05/2009,102,465,89,TEAM
0108009620090905,09/05/2009,108,96,13,TEAM
0129002920090905,09/05/2009,129,29,11,TEAM
0141045720090905,09/05/2009,141,457,78,TEAM
0164051920090905,09/05/2009,164,519,95,TEAM
0229046320090905,09/05/2009,229,463,84,TEAM
0257052120090905,09/05/2009,257,521,104,TEAM
0294002820090905,09/05/2009,294,28,10,TEAM
0295047220090905,09/05/2009,295,472,88,TEAM
0305036720090905,09/05/2009,305,367,54,TEAM
0314043020090905,09/05/2009,314,430,77,TEAM
0315025520090905,09/05/2009,315,255,37,TEAM
0334041420090905,09/05/2009,334,414,98,NEUTRAL
0355076820090905,09/05/2009,355,768,143,TEAM
0365075620090905,09/05/2009,365,756,139,TEAM
0366003720090905,09/05/2009,366,37,1,TEAM
0392010720090905,09/05/2009,392,107,12,TEAM
0400032720090905,09/05/2009,400,327,52,TEAM
0419014720090905,09/05/2009,419,147,112,TEAM
0428068820090905,09/05/2009,428,688,92,TEAM
0432003020090905,09/05/2009,432,30,7,TEAM
