"Team Code","Game Code","Rush Att","Rush Yard","Rush TD","Pass Att","Pass Comp","Pass Yard","Pass TD","Pass Int","Pass Conv","Kickoff Ret","Kickoff Ret Yard","Kickoff Ret TD","Punt Ret","Punt Ret Yard","Punt Ret TD","Fum Ret","Fum Ret Yard","Fum Ret TD","Int Ret","Int Ret Yard","Int Ret TD","Misc Ret","Misc Ret Yard","Misc Ret TD","Field Goal Att","Field Goal Made","Off XP Kick Att","Off XP Kick Made","Off 2XP Att","Off 2XP Made","Def 2XP Att","Def 2XP Made","Safety","Points","Punt","Punt Yard","Kickoff","Kickoff Yard","Kickoff Touchback","Kickoff Out-Of-Bounds","Kickoff Onside","Fumble","Fumble Lost","Tackle Solo","Tackle Assist","Tackle For Loss","Tackle For Loss Yard","Sack","Sack Yard","QB Hurry","Fumble Forced","Pass Broken Up","Kick/Punt Blocked","1st Down Rush","1st Down Pass","1st Down Penalty","Time Of Possession","Penalty","Penalty Yard","Third Down Att","Third Down Conv","Fourth Down Att","Fourth Down Conv","Red Zone Att","Red Zone TD","Red Zone Field Goal"
5,0005053920090905,30,28,0,24,13,158,1,1,0,4,94,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,7,7,273,2,131,0,0,0,0,0,41,37,5.0,14,1.0,5,0,1,4,0,3,5,0,1519,7,59,14,3,3,0,1,0,0
5,0446000520090912,49,250,1,28,16,186,3,0,0,1,14,0,4,28,0,0,0,0,2,69,1,0,0,0,4,2,5,5,0,0,0,0,0,41,1,24,8,522,2,0,0,0,0,20,34,8.0,18,1.0,4,0,2,3,0,13,9,1,2088,1,5,17,11,1,0,8,4,2
5,0306000520090919,30,106,1,23,14,165,1,4,0,5,76,0,3,61,1,0,0,0,1,0,0,1,2,0,0,0,3,3,0,0,0,0,0,21,5,208,4,195,0,0,0,1,0,59,16,1.0,3,0.0,0,0,1,3,2,7,6,3,1509,5,52,7,1,0,0,1,1,0
5,0005012920090926,37,69,3,19,12,127,0,0,0,8,187,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,3,3,0,0,0,0,0,21,5,207,3,136,0,0,1,2,1,55,32,3.0,12,0.0,0,1,2,0,0,5,5,5,1479,6,51,12,1,2,0,3,3,0
5,0519000520091010,34,159,1,42,19,187,0,2,0,5,84,0,1,-1,0,0,0,0,1,0,0,0,0,0,2,0,1,1,0,0,0,0,0,7,3,62,2,118,0,0,0,3,3,42,16,6.0,16,0.0,0,0,0,3,0,12,8,1,1587,6,68,17,8,3,2,3,1,0
5,0005008620091017,30,134,2,34,17,200,0,2,0,4,94,0,3,14,0,0,0,0,2,13,0,0,0,0,2,1,2,2,0,0,0,0,0,17,6,197,4,234,0,0,0,2,1,38,40,9.0,28,2.0,12,1,1,4,0,12,7,0,1652,5,33,14,5,0,0,5,2,1
5,0005068820091024,24,0,0,25,16,191,1,0,0,5,213,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,14,7,292,3,163,0,0,0,2,2,36,34,4.0,21,1.0,11,2,0,0,0,0,8,1,1579,8,80,11,1,0,0,2,1,0
5,0005050320091031,24,31,0,28,12,204,1,0,0,6,77,0,3,-2,0,0,0,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,0,10,7,234,3,155,0,0,0,1,1,36,54,6.0,17,1.0,10,0,0,1,1,1,7,4,1376,7,45,10,0,0,0,2,0,1
5,0331000520091107,40,168,2,35,19,261,2,1,0,2,6,0,0,0,0,0,0,0,2,24,0,0,0,0,1,0,4,4,0,0,0,0,0,28,6,217,5,276,1,1,0,0,0,36,24,8.0,19,0.0,0,0,0,12,0,12,12,1,1958,4,32,12,4,1,0,5,3,0
5,0690000520091113,29,112,0,34,19,135,1,1,0,7,159,0,1,11,0,0,0,1,1,11,0,1,0,0,1,1,2,2,0,0,0,0,0,17,8,293,4,232,0,1,0,2,1,44,20,4.0,13,1.0,8,0,0,1,1,9,6,1,1592,7,72,14,5,0,0,1,1,0
