"Game Code","Drive Number","Team Code","Start Period","Start Clock","Start Spot","Start Reason","End Period","End Clock","End Spot","End Reason","Plays","Yards","Time Of Possession","Red Zone Attempt"
0501002820060831,1,28,1,900,80,"KICKOFF",1,770,16,"INTERCEPTION",5,64,130,1
0501002820060831,2,501,1,770,80,"INTERCEPTION",1,609,96,"DOWNS",4,-16,161,0
0501002820060831,3,28,1,609,4,"DOWNS",1,487,2,"DOWNS",4,2,122,1
0501002820060831,4,501,1,487,98,"DOWNS",1,344,0,"TOUCHDOWN",5,98,143,0
0501002820060831,5,28,1,344,80,"KICKOFF",1,152,64,"PUNT",6,16,192,0
0501002820060831,6,501,1,152,84,"PUNT",1,27,68,"PUNT",5,16,125,0
0501002820060831,7,28,1,27,56,"PUNT",2,816,0,"TOUCHDOWN",7,56,111,1
0501002820060831,8,501,2,816,56,"KICKOFF",2,480,23,"MISSED FIELD GOAL",10,33,336,1
0501002820060831,9,28,2,480,76,"MISSED FIELD GOAL",2,410,78,"PUNT",3,-2,70,0
0501002820060831,10,501,2,410,60,"PUNT",2,373,0,"TOUCHDOWN",2,60,37,0
0501002820060831,11,28,2,373,80,"KICKOFF",2,247,67,"PUNT",4,13,126,0
0501002820060831,12,501,2,247,79,"PUNT",2,112,52,"PUNT",6,27,135,0
0501002820060831,13,28,2,112,60,"PUNT",2,68,0,"TOUCHDOWN",3,60,44,0
0501002820060831,14,501,2,68,80,"KICKOFF",2,0,72,"END OF HALF",1,8,68,0
0501002820060831,15,501,3,900,51,"KICKOFF",3,665,32,"MISSED FIELD GOAL",7,19,235,1
0501002820060831,16,28,3,665,68,"MISSED FIELD GOAL",3,541,53,"PUNT",4,15,124,0
0501002820060831,17,501,3,541,85,"PUNT",3,211,54,"PUNT",9,31,330,0
0501002820060831,18,28,3,211,73,"PUNT",3,48,32,"FUMBLE",5,41,163,0
0501002820060831,19,501,3,48,83,"FUMBLE",4,890,86,"INTERCEPTION",2,-3,58,0
0501002820060831,20,501,4,890,80,"KICKOFF",4,773,85,"PUNT",3,-5,117,0
0501002820060831,21,28,4,773,59,"PUNT",4,718,0,"TOUCHDOWN",4,59,55,1
0501002820060831,22,501,4,718,80,"KICKOFF",4,624,75,"PUNT",3,5,94,0
0501002820060831,23,28,4,624,91,"PUNT",4,205,0,"TOUCHDOWN",14,91,419,1
0501002820060831,24,501,4,205,80,"KICKOFF",4,0,60,"END OF HALF",5,20,205,0
0204004720060831,1,204,1,900,74,"KICKOFF",1,640,50,"PUNT",8,24,260,0
0204004720060831,2,47,1,640,94,"PUNT",1,420,50,"PUNT",7,44,220,0
0204004720060831,3,204,1,420,69,"PUNT",1,319,62,"PUNT",3,7,101,0
0204004720060831,4,47,1,319,77,"PUNT",1,243,53,"PUNT",4,24,76,0
0204004720060831,5,204,1,243,88,"PUNT",1,125,0,"TOUCHDOWN",6,88,118,1
0204004720060831,6,47,1,102,66,"KICKOFF",2,783,0,"TOUCHDOWN",10,66,219,1
0204004720060831,7,204,2,783,80,"KICKOFF",2,511,3,"FIELD GOAL",10,77,272,1
0204004720060831,8,47,2,508,65,"KICKOFF",2,415,0,"TOUCHDOWN",3,65,93,0
0204004720060831,9,204,2,405,78,"KICKOFF",2,295,75,"PUNT",3,3,110,0
0204004720060831,10,47,2,295,54,"PUNT",2,106,29,"FIELD GOAL",8,25,189,0
0204004720060831,11,204,2,96,82,"KICKOFF",2,0,14,"FIELD GOAL",10,68,96,1
0204004720060831,12,47,3,884,72,"KICKOFF",3,806,60,"PUNT",6,12,78,0
0204004720060831,13,204,3,806,90,"PUNT",3,697,97,"PUNT",3,-7,109,0
0204004720060831,14,47,3,697,30,"PUNT",3,569,0,"TOUCHDOWN",4,30,128,1
0204004720060831,15,204,3,560,79,"KICKOFF",3,250,43,"DOWNS",10,36,310,0
0204004720060831,16,47,3,250,57,"DOWNS",3,144,0,"TOUCHDOWN",6,57,106,1
0204004720060831,17,204,3,134,77,"KICKOFF",4,890,49,"PUNT",4,28,144,0
0204004720060831,18,47,4,890,93,"PUNT",4,722,99,"PUNT",3,-6,168,0
0204004720060831,19,204,4,722,20,"PUNT",4,711,0,"TOUCHDOWN",1,20,11,1
0204004720060831,20,47,4,698,69,"KICKOFF",4,494,0,"TOUCHDOWN",8,69,204,0
0204004720060831,21,204,4,485,76,"KICKOFF",4,262,1,"DOWNS",10,75,223,1
