"Game Code","Play Number","Team Code","Player Code","Reception","Yards","Touchdown","1st Down","Fumble","Fumble Lost","Safety"
0501002820060831,2,28,69281,1,40,0,1,0,0,0
0501002820060831,3,28,69368,1,11,0,1,0,0,0
0501002820060831,5,28,69281,1,10,0,1,0,0,0
0501002820060831,18,501,1006372,1,19,0,0,1,0,0
0501002820060831,18,501,74655,0,0,0,1,0,0,0
0501002820060831,21,501,74661,1,80,1,1,0,0,0
0501002820060831,24,28,69281,1,5,0,0,0,0,0
0501002820060831,32,501,74661,1,11,0,1,0,0,0
0501002820060831,36,501,1006371,1,-5,0,0,0,0,0
0501002820060831,38,28,69368,1,6,0,0,0,0,0
0501002820060831,40,28,69368,1,7,0,1,0,0,0
0501002820060831,41,28,1000108,1,14,0,1,0,0,0
0501002820060831,44,28,86856,1,13,1,1,0,0,0
0501002820060831,50,501,74661,1,9,0,1,0,0,0
0501002820060831,64,501,74661,1,60,1,1,0,0,0
0501002820060831,67,28,43895,1,10,0,1,0,0,0
0501002820060831,73,501,74661,1,9,0,1,0,0,0
0501002820060831,77,501,74661,1,4,0,0,0,0,0
0501002820060831,80,28,86856,1,21,0,1,0,0,0
0501002820060831,82,28,1000108,1,39,1,1,0,0,0
0501002820060831,85,501,74661,1,8,0,0,0,0,0
0501002820060831,89,501,74650,1,34,0,1,0,0,0
0501002820060831,94,28,69281,1,16,0,1,0,0,0
0501002820060831,100,501,74650,1,5,0,0,0,0,0
0501002820060831,109,501,74661,1,0,0,0,0,0,0
0501002820060831,115,28,69281,1,20,0,1,0,0,0
0501002820060831,117,28,1000108,1,5,0,0,0,0,0
0501002820060831,118,28,69281,1,17,0,0,1,1,0
0501002820060831,125,501,74661,1,8,0,0,0,0,0
0501002820060831,137,501,74661,1,6,0,0,0,0,0
0501002820060831,142,28,69368,1,23,0,1,0,0,0
0501002820060831,145,28,69281,1,4,0,1,0,0,0
0501002820060831,159,501,74661,1,11,0,1,0,0,0
0204004720060831,15,47,69937,1,31,0,1,0,0,0
0204004720060831,17,47,69954,1,12,0,1,0,0,0
0204004720060831,20,47,45727,1,8,0,0,0,0,0
0204004720060831,21,47,84299,1,0,0,0,0,0,0
0204004720060831,23,204,47206,1,3,0,0,0,0,0
0204004720060831,28,47,59429,1,17,0,1,0,0,0
0204004720060831,35,204,47206,1,11,0,1,0,0,0
0204004720060831,45,47,84303,1,5,0,1,0,0,0
0204004720060831,47,47,84299,1,27,0,1,0,0,0
0204004720060831,49,47,69937,1,12,0,0,0,0,0
0204004720060831,51,47,69937,1,15,1,1,0,0,0
0204004720060831,57,204,47206,1,28,0,1,0,0,0
0204004720060831,58,204,64682,1,6,0,0,0,0,0
0204004720060831,60,204,64669,1,25,0,1,0,0,0
0204004720060831,63,204,47206,1,8,0,0,0,0,0
0204004720060831,67,47,84303,1,13,0,1,0,0,0
0204004720060831,68,47,69954,1,46,1,1,0,0,0
0204004720060831,81,47,45727,1,-5,0,0,0,0,0
0204004720060831,84,204,64676,1,6,0,0,0,0,0
0204004720060831,87,204,78553,1,11,0,1,0,0,0
0204004720060831,92,204,64682,1,9,0,1,0,0,0
0204004720060831,110,47,84303,1,9,1,1,0,0,0
0204004720060831,122,204,64669,1,7,0,0,0,0,0
0204004720060831,127,47,59435,1,8,0,1,0,0,0
0204004720060831,129,47,69937,1,6,1,0,0,0,0
0204004720060831,142,204,47206,1,20,1,1,0,0,0
0204004720060831,146,47,84294,1,6,0,1,0,0,0
0204004720060831,149,47,69954,1,20,0,1,0,0,0
0204004720060831,156,204,47206,1,19,0,1,0,0,0
0204004720060831,157,204,47206,1,18,0,1,0,0,0
0204004720060831,159,204,47206,1,12,0,1,0,0,0
0204004720060831,160,204,78534,1,6,0,0,0,0,0
0204004720060831,161,204,64682,1,12,0,1,0,0,0
0204004720060831,164,204,47206,1,3,0,0,0,0,0
0204004720060831,165,204,47206,1,5,0,0,0,0,0
0102006620060831,9,66,84426,1,7,0,0,0,0,0
0102006620060831,20,66,61190,1,7,0,0,1,1,0
0102006620060831,22,66,61193,1,56,0,1,0,0,0
0102006620060831,33,66,61227,1,12,0,1,0,0,0
0102006620060831,44,66,61190,1,6,0,0,0,0,0
0102006620060831,45,66,61190,1,3,1,0,0,0,0
0102006620060831,52,102,79848,1,3,0,0,0,0,0
0102006620060831,62,102,1004982,1,-4,0,0,0,0,0
0102006620060831,66,66,61190,1,3,0,0,0,0,0
0102006620060831,85,66,61193,1,52,1,1,0,0,0
0102006620060831,91,102,79848,1,8,0,0,0,0,0
0102006620060831,100,102,79848,1,5,0,0,0,0,0
0102006620060831,103,66,61193,1,17,0,1,0,0,0
0102006620060831,111,102,1004982,1,9,0,0,0,0,0
0102006620060831,114,102,76585,1,11,0,0,0,0,0
0102006620060831,122,66,84448,1,10,0,1,0,0,0
0102006620060831,125,66,84426,1,8,0,1,0,0,0
0102006620060831,142,66,84448,1,6,0,0,0,0,0
0102006620060831,148,66,61219,1,4,0,0,0,0,0
0102006620060831,149,66,84434,1,12,0,1,0,0,0
0102006620060831,152,66,84449,1,9,0,1,0,0,0
0690008620060831,4,86,57114,1,11,0,1,0,0,0
0690008620060831,10,690,116,1,11,0,1,0,0,0
0690008620060831,11,690,1003582,1,3,0,0,0,0,0
0690008620060831,19,86,46085,1,14,0,0,0,0,0
0690008620060831,22,86,78334,1,10,0,0,0,0,0
0690008620060831,31,690,71827,1,0,0,0,0,0,0
0690008620060831,35,86,1000517,1,3,0,0,0,0,0
0690008620060831,37,690,1003583,1,-3,0,0,0,0,0
0690008620060831,38,690,87209,1,7,0,0,0,0,0
0690008620060831,39,690,56472,1,4,0,0,0,0,0
0690008620060831,47,86,78334,1,10,0,1,0,0,0
0690008620060831,50,86,78334,1,5,0,1,0,0,0
0690008620060831,53,86,57116,1,9,0,0,0,0,0
0690008620060831,56,690,71827,1,6,0,0,0,0,0
0690008620060831,58,690,87209,1,4,0,0,0,0,0
0690008620060831,59,690,56472,1,10,0,1,0,0,0
0690008620060831,60,690,116,1,6,0,0,0,0,0
0690008620060831,66,86,78370,1,33,0,1,0,0,0
0690008620060831,75,690,84488,1,8,0,0,0,0,0
0690008620060831,79,86,57116,1,50,0,1,0,0,0
0690008620060831,85,690,87209,1,6,0,1,0,0,0
0690008620060831,88,690,84488,1,7,0,1,0,0,0
0690008620060831,112,690,56472,1,5,0,0,0,0,0
0690008620060831,114,690,1003615,1,2,0,0,0,0,0
0690008620060831,117,86,57116,1,9,0,0,0,0,0
0690008620060831,129,690,71827,1,0,0,0,0,0,0
0690008620060831,130,690,71827,1,10,0,1,0,0,0
