"Game Code","Date","Visit Team Code","Home Team Code","Stadium Code","Site"
0017049820060831,08/31/2006,17,498,57,TEAM
0067012920060831,08/31/2006,67,129,70,TEAM
0102006620060831,08/31/2006,102,66,42,TEAM
0204004720060831,08/31/2006,204,47,48,TEAM
0207052820060831,08/31/2006,207,528,107,TEAM
0231041920060831,08/31/2006,231,419,116,TEAM
0428033120060831,08/31/2006,428,331,100,TEAM
0501002820060831,08/31/2006,501,28,10,TEAM
0509041420060831,08/31/2006,509,414,101,TEAM
0572016420060831,08/31/2006,572,164,25,TEAM
0648043020060831,08/31/2006,648,430,77,TEAM
0655047220060831,08/31/2006,655,472,88,TEAM
0676071920060831,08/31/2006,676,719,105,TEAM
0690008620060831,08/31/2006,690,86,91,TEAM
0704062620060831,08/31/2006,704,626,16,TEAM
0709031120060831,08/31/2006,709,311,40,TEAM
0466009620060901,09/01/2006,466,96,13,TEAM
0005053920060902,09/02/2006,5,539,111,TEAM
0007071620060902,09/02/2006,7,716,4,TEAM
0009052220060902,09/02/2006,9,522,103,TEAM
0027049020060902,09/02/2006,27,490,82,TEAM
0077002920060902,09/02/2006,77,29,11,TEAM
0107069420060902,09/02/2006,107,694,114,TEAM
0141069720060902,09/02/2006,141,697,120,TEAM
0196072620060902,09/02/2006,196,726,62,TEAM
0201030120060902,09/02/2006,201,301,44,TEAM
0202014020060902,09/02/2006,202,140,97,TEAM
0229014720060902,09/02/2006,229,147,112,TEAM
0277000820060902,09/02/2006,277,8,5,TEAM
0288057420060902,09/02/2006,288,574,127,TEAM
0294046520060902,09/02/2006,294,465,89,TEAM
0295041620060902,09/02/2006,295,416,68,TEAM
0299032720060902,09/02/2006,299,327,52,TEAM
0305055920060902,09/02/2006,305,559,50,TEAM
0366046320060902,09/02/2006,366,463,84,TEAM
0388076820060902,09/02/2006,388,768,143,TEAM
0402065120060902,09/02/2006,402,651,35,TEAM
0440015720060902,09/02/2006,440,157,20,TEAM
0441031220060902,09/02/2006,441,312,41,TEAM
0454043420060902,09/02/2006,454,434,73,TEAM
0497070320060902,09/02/2006,497,703,119,TEAM
0500074220060902,09/02/2006,500,742,136,TEAM
0503051820060902,09/02/2006,503,518,99,TEAM
0508032820060902,09/02/2006,508,328,51,TEAM
0513025520060902,09/02/2006,513,255,37,TEAM
0550047320060902,09/02/2006,550,473,87,TEAM
0575019320060902,09/02/2006,575,193,80,TEAM
0587045720060902,09/02/2006,587,457,78,TEAM
0630075620060902,09/02/2006,630,756,139,TEAM
0657003120060902,09/02/2006,657,31,6,TEAM
0663070020060902,09/02/2006,663,700,129,TEAM
0664023520060902,09/02/2006,664,235,27,TEAM
0669052120060902,09/02/2006,669,521,104,TEAM
0671036520060902,09/02/2006,671,365,55,TEAM
0674052920060902,09/02/2006,674,529,108,TEAM
0688074920060902,09/02/2006,688,749,83,TEAM
