"Game Code","Play Number","Team Code","Passer Player Code","Receiver Player Code","Attempt","Completion","Yards","Touchdown","Interception","1st Down","Dropped"
0501002820060831,2,28,69289,69281,1,1,40,0,0,1,0
0501002820060831,3,28,69289,69368,1,1,11,0,0,1,0
0501002820060831,5,28,69289,69281,1,1,10,0,0,1,0
0501002820060831,6,28,69289,,1,0,0,0,1,0,0
0501002820060831,18,501,60743,1006372,1,1,19,0,0,1,0
0501002820060831,21,501,60743,74661,1,1,80,1,0,1,0
0501002820060831,24,28,69289,69281,1,1,5,0,0,0,0
0501002820060831,29,28,69289,69368,1,0,0,0,0,0,0
0501002820060831,32,501,60743,74661,1,1,11,0,0,1,0
0501002820060831,36,501,60743,1006371,1,1,-5,0,0,0,0
0501002820060831,38,28,69289,69368,1,1,6,0,0,0,0
0501002820060831,40,28,69289,69368,1,1,7,0,0,1,0
0501002820060831,41,28,69289,1000108,1,1,14,0,0,1,0
0501002820060831,44,28,69289,86856,1,1,13,1,0,1,0
0501002820060831,50,501,60743,74661,1,1,9,0,0,1,0
0501002820060831,54,501,60743,74650,1,0,0,0,0,0,0
0501002820060831,58,28,69289,69281,1,0,0,0,0,0,0
0501002820060831,60,28,69289,69281,1,0,0,0,0,0,0
0501002820060831,64,501,60743,74661,1,1,60,1,0,1,0
0501002820060831,67,28,69289,43895,1,1,10,0,0,1,0
0501002820060831,70,28,69289,69368,1,0,0,0,0,0,0
0501002820060831,73,501,60743,74661,1,1,9,0,0,1,0
0501002820060831,77,501,60743,74661,1,1,4,0,0,0,0
0501002820060831,78,501,60743,74661,1,0,0,0,0,0,0
0501002820060831,80,28,69289,86856,1,1,21,0,0,1,0
0501002820060831,81,28,69289,69368,1,0,0,0,0,0,0
0501002820060831,82,28,69289,1000108,1,1,39,1,0,1,0
0501002820060831,85,501,60743,74661,1,1,8,0,0,0,0
0501002820060831,89,501,60743,74650,1,1,34,0,0,1,0
0501002820060831,90,501,60743,74661,1,0,0,0,0,0,0
0501002820060831,94,28,69289,69281,1,1,16,0,0,1,0
0501002820060831,100,501,60743,74650,1,1,5,0,0,0,0
0501002820060831,109,501,60743,74661,1,1,0,0,0,0,0
0501002820060831,115,28,69289,69281,1,1,20,0,0,1,0
0501002820060831,117,28,69289,1000108,1,1,5,0,0,0,0
0501002820060831,118,28,69289,69281,1,1,17,0,0,0,0
