"Game Code","Attendance","Duration"
0017049820060831,18106,187
0067012920060831,25418,200
0102006620060831,29674,182
0204004720060831,12326,185
0207052820060831,38071,190
0231041920060831,20058,181
0428033120060831,20126,156
0501002820060831,53540,177
0509041420060831,20476,163
0572016420060831,36227,184
0648043020060831,50277,186
0655047220060831,15561,187
0676071920060831,23308,180
0690008620060831,29795,166
0704062620060831,34723,172
0709031120060831,42531,218
0466009620060901,39269,181
0005053920060902,106505,200
0007071620060902,26265,180
0009052220060902,84555,196
0027049020060902,57583,165
0077002920060902,58450,202
0107069420060902,106009,201
0141069720060902,70104,192
0196072620060902,33809,178
0201030120060902,45444,176
0202014020060902,18792,170
0229014720060902,77000,209
0277000820060902,92138,183
0288057420060902,23352,200
0294046520060902,19943,200
0295041620060902,70711,183
0299032720060902,47250,180
0305055920060902,50108,189
0366046320060902,85181,184
0388076820060902,61077,200
0402065120060902,26351,190
0440015720060902,45513,184
0441031220060902,70585,180
0454043420060902,50074,172
0497070320060902,85123,191
0500074220060902,66233,180
0503051820060902,103896,171
0508032820060902,44025,177
0513025520060902,56680,197
0550047320060902,27535,173
0575019320060902,27546,180
0587045720060902,50000,196
0630075620060902,52256,184
0657003120060902,76564,215
0663070020060902,50362,180
0664023520060902,90043,180
0669052120060902,41393,176
0671036520060902,92362,166
0674052920060902,58450,211
0688074920060902,34121,180
0695051920060902,15010,177
0725003020060902,23426,150
0731081120060902,18531,181
0732011020060902,59709,189
0736041820060902,109668,183
0739012820060902,29398,154
0746054520060902,46758,183
0754003720060902,87451,182
0758015620060902,28801,168
0772025720060902,92746,191
0774030620060902,30733,182
0786039220060902,49763,163
0796007120060902,30307,177
0334036720060903,42597,200
0404043320060903,55549,180
0698005120060903,42733,210
0234041520060904,71481,198
0528006620060907,30711,189
0545014020060908,20611,201
0005049020060909,56103,215
0029036520060909,92221,179
0037043020060909,43640,176
0086007120060909,14227,211
0108069820060909,25272,186
0128023520060909,90210,191
0129041820060909,108712,177
0147006720060909,44500,240
0157015620060909,65701,168
0193074920060909,26071,191
0196000920060909,23116,181
0204041620060909,69856,195
0207076820060909,59504,181
0228041520060909,40208,189
0229032720060909,43953,215
0231065120060909,27114,195
0257064820060909,82513,188
0283038820060909,26861,225
0295075420060909,29431,205
0301058720060909,41036,174
0306004720060909,23813,186
0312068820060909,37199,225
0331072520060909,25123,192
0367069020060909,16015,186
0400072620060909,30117,169
0414055920060909,53668,194
0419039220060909,47704,166
0428010720060909,55035,187
0433043420060909,51112,179
0465031120060909,45795,180
0466002820060909,54232,183
0469050920060909,20108,155
0473047220060909,29095,204
0483046320060909,84076,168
0498032820060909,45221,175
0501073220060909,43327,173
0508005120060909,31125,208
0518070320060909,89422,186
0519050320060909,19341,185
0521003020060909,23816,175
0529009620060909,42281,222
0539051320060909,80795,199
0574011020060909,46023,181
0625025520060909,47149,195
0655066420060909,28258,177
0663049720060909,25231,155
0670033420060909,57136,177
0671069720060909,67079,180
0674063020060909,29321,183
0693040420060909,34419,164
0700070420060909,51827,222
0709077420060909,24806,147
0716023420060909,77217,197
0718028820060909,16506,190
0719007720060909,56627,244
0721069420060909,105466,177
0731003120060909,69491,175
0736000820060909,92138,169
0742045720060909,57000,189
0756052220060909,84577,212
0771079620060909,80845,180
0811074620060909,60429,180
0392076820060914,60513,201
0692041920060914,20806,184
0328070920060915,22118,240
0005012920060916,20097,182
0009025720060916,92746,184
0028015720060916,47723,201
0031073620060916,32202,188
0047055920060916,51561,178
0051075420060916,41358,184
0066081120060916,17880,188
0071023120060916,15212,179
0077006720060916,40233,230
0086050320060916,21117,154
0096075620060916,57012,173
0140051820060916,105037,183
0147023420060916,83510,197
0156046620060916,18883,145
0193074220060916,66233,179
0204050920060916,21935,162
0229052120060916,42970,185
0235069420060916,106818,196
0244045720060916,47000,207
0261028820060916,27302,183
0294029520060916,15162,188
0311031220060916,70585,187
0331041420060916,10486,190
0365003720060916,87451,194
0388032720060916,46488,180
0404019620060916,37431,175
0415036720060916,42704,177
0416054520060916,47956,195
0418051320060916,80795,208
0433033420060916,60338,193
0434047320060916,27806,169
0463065720060916,92000,185
0465027720060916,32008,199
0483036620060916,18765,185
0490066420060916,31748,186
0497071920060916,22045,163
0498000820060916,92138,176
0519058720060916,41102,173
0522052920060916,59269,234
0550010720060916,61082,183
0624066320060916,17421,173
0626079620060916,81090,180
0651012820060916,46708,188
0659030620060916,31156,186
0676002920060916,47402,176
0688030120060916,40657,185
0690042820060916,45612,169
0697072520060916,64583,197
0699047220060916,15450,190
0700069820060916,45647,182
0703057420060916,40069,183
0716025520060916,45637,200
0718043020060916,38130,197
0726067420060916,44022,179
0732073120060916,20082,174
0749016420060916,40000,176
0774074620060916,59679,160
0817053920060916,104954,180
2915064820060916,74286,173
0746025520060921,51081,189
0509046620060922,16176,194
0008003120060923,74687,200
0028010720060923,58024,194
0030066320060923,12979,169
0067049020060923,57583,200
0086003720060923,84921,166
0090063020060923,15684,175
0110075620060923,58255,171
0129020420060923,11686,203
0140074220060923,66233,180
0141054520060923,30069,169
0157025720060923,92746,186
0164030620060923,27256,194
0229064820060923,70860,195
0231039220060923,45317,187
0277006620060923,30642,210
0290058720060923,35558,195
0295052820060923,40317,185
0305050320060923,19720,164
0311070320060923,88972,257
0312030120060923,43066,201
0331007120060923,12967,164
0334023520060923,90292,193
0366069720060923,68563,193
0367032720060923,45855,185
0388069420060923,104818,156
0402070920060923,20057,170
0414068820060923,35274,186
0419052220060923,84326,163
0428055920060923,54620,199
0430000920060923,36104,196
0457014720060923,83000,185
0488067120060923,15041,169
0493004720060923,10285,171
0497000520060923,16011,165
0513041620060923,80193,211
0519043420060923,50098,182
0521028820060923,28260,176
0539051820060923,105266,173
0574023420060923,78154,192
0651032820060923,40933,190
0655070020060923,52913,165
0657002920060923,58801,190
0690077420060923,15739,167
0691073620060923,27460,170
0704047320060923,34069,174
0716046320060923,84799,164
0718036520060923,92135,188
0719072620060923,31604,178
0721081120060923,20177,174
0725005120060923,36218,180
0731007720060923,58659,169
0732062620060923,53794,181
0749043320060923,52079,155
0754067420060923,37498,184
0768019620060923,40510,198
0796041820060923,111058,197
0664012820060926,23540,186
0037064820060928,74374,185
0077069820060928,32190,188
0587065120060929,32493,194
0005033120060930,22013,197
0008023520060930,90671,213
0030023120060930,15174,183
0066073220060930,45222,176
0071051920060930,18546,157
0107052820060930,39309,195
0129033420060930,54566,199
0156009620060930,42012,198
0157043420060930,57824,182
0201027720060930,29358,174
0204067120060930,15923,180
0229049820060930,14214,170
0255074220060930,66255,208
0257043320060930,57184,183
0288041520060930,36107,195
0295073120060930,8618,173
0301041620060930,71268,181
0327005120060930,30752,198
0328046320060930,85069,232
0355074920060930,29623,164
0366014720060930,81000,191
0380006720060930,41162,161
0414014020060930,21248,168
0418042820060930,50805,180
0419049720060930,16986,170
0430036520060930,91960,222
0466046520060930,37179,170
0472070420060930,51500,211
0473072120060930,40453,177
0503004720060930,10128,240
0504031120060930,55518,183
0509053920060930,108837,192
0518031220060930,70585,187
0529002820060930,58526,197
0559051320060930,80795,200
0574072520060930,31597,196
0624070320060930,88913,158
0626063020060930,14361,170
0657075420060930,35117,200
0663071820060930,21565,208
0674011020060930,72095,181
0690073620060930,34319,182
0694040420060930,61783,178
0700069720060930,85979,196
0709054520060930,21212,188
0716000920060930,32818,159
0726016420060930,40000,201
0746019320060930,19241,180
0756002920060930,55409,181
0796030620060930,32142,194
0811068820060930,38447,219
0664071920061003,20625,198
0128038820061004,27572,189
0234049020061005,57437,210
0698073220061005,43790,176
0367041920061006,32797,199
0005014020061007,18123,190
0029011020061007,65644,189
0031003720061007,87451,186
0047008620061007,14885,175
0051015720061007,47065,208
0071051820061007,105057,171
0096073120061007,10701,181
0129070920061007,20419,213
0147074920061007,35920,179
0164065120061007,30010,190
0193000820061007,92138,193
0231049720061007,15123,265
0306030120061007,43006,196
0331069020061007,13704,178
0365023520061007,90714,207
0366006620061007,30572,198
0392025520061007,51686,202
0404000920061007,20644,192
0416041820061007,111349,185
0434070020061007,49050,178
0457041520061007,29621,191
0463031120061007,55338,192
0465015620061007,32841,189
0466027720061007,33761,210
0472029520061007,15107,178
0498003020061007,18785,186
0509079620061007,81704,162
0521032720061007,46616,165
0529010720061007,72516,200
0539042820061007,45227,203
0545068820061007,41870,190
0559031220061007,70585,190
0574071820061007,15064,190
0626007720061007,60804,177
0648033420061007,61449,196
0663070420061007,41258,178
0671028820061007,17543,195
0674051320061007,80795,183
0694025720061007,92746,198
0697032820061007,46445,200
0703052220061007,76260,192
0726072120061007,45246,174
0736043320061007,51211,182
0741072520061007,31069,177
0746019620061007,35541,195
0754052820061007,42951,194
0756065720061007,90282,198
0768043020061007,40327,190
0774051920061007,15026,182
0811047320061007,31375,170
0503041420061008,12197,192
0147069020061012,30246,182
0156072120061012,30008,177
0667022920061012,6431,159
0742006720061012,44500,200
0545012820061013,35858,174
0009057420061014,10153,214
0028065720061014,91126,187
0029067420061014,39317,150
0030040420061014,31758,195
0047012920061014,21013,168
0051070320061014,88966,193
0107075420061014,31441,175
0110052920061014,58618,205
0140036720061014,41549,207
0204007120061014,14525,167
0231041520061014,51130,184
0234019320061014,17525,215
0235003720061014,87541,182
0277009620061014,39122,205
0288066420061014,32317,185
0295036620061014,19231,164
0311052220061014,84152,178
0312030620061014,31392,207
0315043020061014,38635,174
0334036520061014,92148,184
0388066320061014,14032,184
0392074620061014,59367,179
0418053920061014,110007,178
0428079620061014,82010,159
0433000820061014,92138,195
0434069720061014,71136,192
0463032720061014,50723,180
0473046520061014,16456,197
0498071620061014,19415,212
0503077420061014,19275,188
0518041620061014,73498,184
0519030120061014,34328,186
0521032820061014,41203,190
0528075620061014,62656,189
0559050920061014,27171,186
0587072620061014,36918,180
0651045720061014,44000,202
0654003120061014,72453,176
0688076820061014,60051,190
0700015720061014,50233,175
0709033120061014,20212,164
0718070420061014,35930,187
0719019620061014,34011,165
0725016420061014,38834,164
0731063020061014,15738,145
0732081120061014,20806,189
0736025720061014,92746,196
0749049020061014,55972,184
0066047220061015,16872,212
0414008620061015,13699,171
0671022920061018,9827,190
0071012920061019,11262,175
0457074620061019,56632,188
0732047320061019,23471,194
0768016420061020,40000,184
0008069420061021,106695,210
0066029520061021,17000,205
0067023420061021,83043,190
0086051920061021,19409,159
0096036520061021,91833,174
0110051320061021,80795,215
0156081120061021,23247,245
0157052220061021,84443,174
0255014720061021,83000,178
0277047220061021,17318,206
0301053920061021,108112,185
0306051820061021,105267,179
0312041820061021,110923,200
0327043420061021,64657,197
0328005120061021,36125,204
0367068820061021,35708,190
0388000920061021,12344,178
0414000520061021,17721,190
0415019320061021,16291,200
0416050920061021,29387,199
0419049820061021,11717,186
0430025720061021,92746,188
0433003120061021,73445,183
0465007720061021,63341,195
0490039220061021,50230,180
