"Game Code","Play Number","Team Code","Player Code","Attempt","Yards","Fair Catch","Touchback","Downed","Out Of Bounds","Onside","Onside Success"
0128000520120830,1,5,1038376,1,48,0,0,0,0,0,0
0128000520120830,11,128,1039022,1,64,0,0,0,0,0,0
0128000520120830,44,128,1039022,1,65,0,1,0,0,0,0
0128000520120830,62,128,1039022,1,65,0,0,0,0,0,0
0128000520120830,78,128,1039022,1,61,0,0,0,0,0,0
0128000520120830,94,128,1039022,1,36,0,0,0,0,0,0
0128000520120830,96,128,1039022,1,65,0,0,0,0,0,0
0128000520120830,110,5,1038376,1,39,0,0,0,0,0,0
0128000520120830,126,128,1039022,1,61,0,0,0,0,0,0
0128000520120830,137,128,1039022,1,65,0,1,0,0,0,0
0128000520120830,162,5,1038376,1,48,0,0,0,0,0,0
0128000520120830,184,128,1039019,1,55,0,0,0,0,0,0
0501002820120830,1,501,1037463,1,60,0,0,0,0,0,0
0501002820120830,12,28,1030920,1,65,0,0,0,0,0,0
0501002820120830,30,28,1030920,1,64,0,0,0,0,0,0
0501002820120830,53,28,1030920,1,65,0,0,0,0,0,0
0501002820120830,59,28,1030920,1,65,0,1,0,0,0,0
0501002820120830,72,28,1030920,1,65,0,1,0,0,0,0
0501002820120830,84,28,1030920,1,65,0,0,0,0,0,0
0501002820120830,101,28,1030920,1,65,0,1,0,0,0,0
0501002820120830,114,501,1037463,1,65,0,1,0,0,0,0
0501002820120830,139,28,1030920,1,57,0,0,0,0,0,0
0501002820120830,151,28,1030920,1,65,0,1,0,0,0,0
0501002820120830,164,28,1030920,1,65,0,1,0,0,0,0
0204004720120830,1,204,1031758,1,61,0,0,0,0,0,0
0204004720120830,13,47,1031113,1,65,0,0,0,0,0,0
0204004720120830,34,47,1031113,1,65,0,0,0,0,0,0
0204004720120830,54,204,1031758,1,64,0,0,0,0,0,0
0204004720120830,79,204,1031758,1,65,0,0,0,0,0,0
0204004720120830,106,47,1031113,1,39,0,0,0,0,0,0
0204004720120830,108,47,1031113,1,65,0,1,0,0,0,0
0204004720120830,119,47,1031113,1,65,0,1,0,0,0,0
0204004720120830,135,47,1031113,1,65,0,0,0,0,0,0
0204004720120830,159,47,1031113,1,65,0,1,0,0,0,0
0204004720120830,172,47,1031113,1,65,0,1,0,0,0,0
0204004720120830,183,204,1031758,1,61,0,0,0,0,0,0
0204004720120830,199,204,1031758,0,19,0,0,0,0,1,0
0754007720120830,1,754,1025659,1,65,0,1,0,0,0,0
0754007720120830,41,77,1023368,1,60,0,0,0,0,0,0
0754007720120830,58,77,1023368,1,65,0,0,0,0,0,0
0754007720120830,70,754,1025659,1,65,0,1,0,0,0,0
0754007720120830,88,77,1023368,1,57,0,0,0,0,0,0
0754007720120830,98,77,1023368,1,58,0,0,0,0,0,0
0754007720120830,108,77,1023368,1,63,0,0,0,0,0,0
0754007720120830,117,77,1023368,1,62,0,0,0,0,0,0
0754007720120830,138,77,1015667,1,65,0,1,0,0,0,0
0654012920120830,1,654,1029340,1,65,0,1,0,0,0,0
0654012920120830,23,129,1023552,1,50,0,0,0,0,0,0
0654012920120830,28,654,1029340,1,64,0,0,0,0,0,0
