"Game Code","Drive Number","Team Code","Start Period","Start Clock","Start Spot","Start Reason","End Period","End Clock","End Spot","End Reason","Plays","Yards","Time Of Possession","Red Zone Attempt"
0128000520120830,1,128,1,900,73,"KICKOFF",1,666,0,"TOUCHDOWN",8,73,234,1
0128000520120830,2,5,1,659,76,"KICKOFF",1,537,46,"PUNT",6,30,122,0
0128000520120830,3,128,1,537,92,"PUNT",1,415,87,"PUNT",3,5,122,0
0128000520120830,4,5,1,415,54,"PUNT",1,250,17,"MISSED FIELD GOAL",10,37,165,1
0128000520120830,5,128,1,250,80,"MISSED FIELD GOAL",2,855,0,"TOUCHDOWN",10,80,295,1
0128000520120830,6,5,2,855,75,"KICKOFF",2,688,32,"DOWNS",9,43,167,0
0128000520120830,7,128,2,688,67,"DOWNS",2,528,42,"PUNT",4,25,160,0
0128000520120830,8,128,2,528,9,"FUMBLE",2,486,0,"TOUCHDOWN",2,9,42,1
0128000520120830,9,5,2,479,84,"KICKOFF",2,369,71,"PUNT",6,13,110,0
0128000520120830,10,128,2,369,45,"PUNT",2,183,0,"TOUCHDOWN",6,45,186,1
0128000520120830,11,5,2,178,83,"KICKOFF",2,102,77,"PUNT",3,6,76,0
0128000520120830,12,128,2,102,72,"PUNT",2,30,65,"PUNT",3,7,72,0
0128000520120830,13,5,2,30,94,"PUNT",2,24,95,"FUMBLE",1,-1,6,0
0128000520120830,14,128,2,24,5,"FUMBLE",2,14,0,"TOUCHDOWN",2,5,10,1
0128000520120830,15,5,2,9,65,"KICKOFF",2,0,68,"END OF HALF",1,-3,9,0
0128000520120830,16,5,3,894,80,"KICKOFF",3,688,0,"TOUCHDOWN",11,80,206,1
0128000520120830,17,128,3,681,63,"KICKOFF",3,635,65,"INTERCEPTION",2,-2,46,0
0128000520120830,18,5,3,635,38,"INTERCEPTION",3,492,28,"DOWNS",7,10,143,0
0128000520120830,19,128,3,492,72,"DOWNS",3,328,0,"TOUCHDOWN",5,72,164,0
0128000520120830,20,5,3,322,80,"KICKOFF",3,283,75,"FUMBLE",3,5,39,0
0128000520120830,21,128,3,283,25,"FUMBLE",3,144,0,"TOUCHDOWN",5,25,139,1
0128000520120830,22,5,3,144,75,"KICKOFF",4,839,50,"INTERCEPTION",8,25,205,0
0128000520120830,23,128,4,839,76,"INTERCEPTION",4,746,78,"PUNT",3,-2,93,0
0128000520120830,24,5,4,746,61,"PUNT",4,541,0,"TOUCHDOWN",11,61,205,1
0128000520120830,25,128,4,539,83,"KICKOFF",4,386,71,"PUNT",5,12,153,0
0128000520120830,26,5,4,386,66,"PUNT",4,282,64,"PUNT",3,2,104,0
0128000520120830,27,128,4,282,27,"PUNT",4,78,0,"TOUCHDOWN",7,27,204,1
0128000520120830,28,5,4,71,80,"KICKOFF",4,0,67,"END OF HALF",4,13,71,0
0501002820120830,1,28,1,900,73,"KICKOFF",1,686,0,"TOUCHDOWN",9,73,214,1
0501002820120830,2,501,1,682,85,"KICKOFF",1,516,80,"PUNT",4,5,166,0
