"Game Code","Date","Visit Team Code","Home Team Code","Stadium Code","Site"
0086016420050901,09/01/2005,86,164,25,TEAM
0128064820050901,09/01/2005,128,648,113,TEAM
0204014020050901,09/01/2005,204,140,97,TEAM
0295075420050901,09/01/2005,295,754,138,TEAM
0428071920050901,09/01/2005,428,719,105,TEAM
0508049820050901,09/01/2005,508,498,57,TEAM
0529028820050901,09/01/2005,529,288,126,TEAM
0690002820050901,09/01/2005,690,28,10,TEAM
0736074920050901,09/01/2005,736,749,83,TEAM
0771070920050901,09/01/2005,771,709,102,TEAM
0786038820050901,09/01/2005,786,388,142,TEAM
0029073220050902,09/02/2005,29,732,135,TEAM
0306012920050902,09/02/2005,306,129,70,TEAM
0009069420050903,09/03/2005,9,694,114,TEAM
0047031220050903,09/03/2005,47,312,41,TEAM
0051066320050903,09/03/2005,51,663,122,TEAM
0066025720050903,09/03/2005,66,257,36,TEAM
0067007720050903,09/03/2005,67,77,134,TEAM
0071079620050903,09/03/2005,71,796,141,TEAM
0090071620050903,09/03/2005,90,716,4,TEAM
0102010720050903,09/03/2005,102,107,12,TEAM
0110062620050903,09/03/2005,110,626,16,TEAM
0156015720050903,09/03/2005,156,157,20,TEAM
0193019620050903,09/03/2005,193,196,81,TEAM
0207063020050903,09/03/2005,207,630,18,TEAM
0229032820050903,09/03/2005,229,328,51,TEAM
0231032720050903,09/03/2005,231,327,52,TEAM
0255003720050903,09/03/2005,255,37,1,TEAM
0299031120050903,09/03/2005,299,311,40,TEAM
0331041620050903,09/03/2005,331,416,68,TEAM
0380046320050903,09/03/2005,380,463,84,TEAM
0392072620050903,09/03/2005,392,726,63,NEUTRAL
0414051820050903,09/03/2005,414,518,99,TEAM
0419000820050903,09/03/2005,419,8,5,TEAM
0434003020050903,09/03/2005,434,30,74,TEAM
0440052120050903,09/03/2005,440,521,104,TEAM
0454043020050903,09/03/2005,454,430,77,TEAM
0503041820050903,09/03/2005,503,418,66,TEAM
0513054520050903,09/03/2005,513,545,110,TEAM
0519050920050903,09/03/2005,519,509,46,TEAM
0550052820050903,09/03/2005,550,528,107,TEAM
0587030120050903,09/03/2005,587,301,44,TEAM
0651053920050903,09/03/2005,651,539,111,TEAM
0657027720050903,09/03/2005,657,277,39,TEAM
0669003120050903,09/03/2005,669,31,6,TEAM
0671070320050903,09/03/2005,671,703,119,TEAM
0697014720050903,09/03/2005,697,147,112,TEAM
0698052220050903,09/03/2005,698,522,103,TEAM
0704047220050903,09/03/2005,704,472,88,TEAM
0756072120050903,09/03/2005,756,721,140,NEUTRAL
0774074620050903,09/03/2005,774,746,137,TEAM
0811023520050903,09/03/2005,811,235,27,TEAM
0367033420050904,09/04/2005,367,334,53,TEAM
0742049020050904,09/04/2005,742,490,82,TEAM
0768068820050904,09/04/2005,768,688,92,TEAM
0415023420050905,09/05/2005,415,234,33,TEAM
0433040420050905,09/05/2005,433,404,115,TEAM
0465047320050905,09/05/2005,465,473,87,TEAM
0521022920050908,09/08/2005,521,229,30,TEAM
0545051920050909,09/09/2005,545,519,95,TEAM
0754046620050909,09/09/2005,754,466,90,TEAM
0005055920050910,09/10/2005,5,559,50,TEAM
0009071620050910,09/10/2005,9,716,4,TEAM
0027032820050910,09/10/2005,27,328,51,TEAM
0066052820050910,09/10/2005,66,528,107,TEAM
0071004720050910,09/10/2005,71,47,48,TEAM
0086068820050910,09/10/2005,86,688,92,TEAM
0107075620050910,09/10/2005,107,756,139,TEAM
0129041420050910,09/10/2005,129,414,101,TEAM
0140053920050910,09/10/2005,140,539,111,TEAM
0141023420050910,09/10/2005,141,234,33,TEAM
0147039220050910,09/10/2005,147,392,64,TEAM
0156042820050910,09/10/2005,156,428,72,TEAM
0201007720050910,09/10/2005,201,77,134,TEAM
0228065120050910,09/10/2005,228,651,35,TEAM
0231070020050910,09/10/2005,231,700,129,TEAM
0277041620050910,09/10/2005,277,416,68,TEAM
0294033420050910,09/10/2005,294,334,53,TEAM
0295046520050910,09/10/2005,295,465,89,TEAM
0312031120050910,09/10/2005,312,311,40,TEAM
0327038820050910,09/10/2005,327,388,142,TEAM
0355016420050910,09/10/2005,355,164,25,TEAM
0365002820050910,09/10/2005,365,28,10,TEAM
0366023520050910,09/10/2005,366,235,27,TEAM
0430003720050910,09/10/2005,430,37,1,TEAM
0441052920050910,09/10/2005,441,529,108,TEAM
0457025520050910,09/10/2005,457,255,37,TEAM
0472015720050910,09/10/2005,472,157,20,TEAM
0473043420050910,09/10/2005,473,434,73,TEAM
0483030620050910,09/10/2005,483,306,47,TEAM
0497041920050910,09/10/2005,497,419,116,TEAM
0498081120050910,09/10/2005,498,811,144,TEAM
0501002920050910,09/10/2005,501,29,11,TEAM
0503050920050910,09/10/2005,503,509,46,TEAM
0513041820050910,09/10/2005,513,418,66,TEAM
0574011020050910,09/10/2005,574,110,15,TEAM
0624028820050910,09/10/2005,624,288,126,TEAM
0625005120050910,09/10/2005,625,51,132,TEAM
0626072120050910,09/10/2005,626,721,21,TEAM
0630030120050910,09/10/2005,630,301,44,TEAM
0648025720050910,09/10/2005,648,257,36,TEAM
0654033120050910,09/10/2005,654,331,100,TEAM
0664000820050910,09/10/2005,664,8,5,TEAM
0671020420050910,09/10/2005,671,204,71,TEAM
0674072620050910,09/10/2005,674,726,62,TEAM
0690079620050910,09/10/2005,690,796,141,TEAM
0695003020050910,09/10/2005,695,30,7,TEAM
0698066320050910,09/10/2005,698,663,122,TEAM
0703051820050910,09/10/2005,703,518,99,TEAM
0719052220050910,09/10/2005,719,522,103,TEAM
0725006720050910,09/10/2005,725,67,61,TEAM
0731073220050910,09/10/2005,731,732,135,TEAM
0736003120050910,09/10/2005,736,31,6,TEAM
0739058720050910,09/10/2005,739,587,86,TEAM
0742019320050910,09/10/2005,742,193,80,TEAM
0749046320050910,09/10/2005,749,463,84,TEAM
0758009620050910,09/10/2005,758,96,13,TEAM
0774070920050910,09/10/2005,774,709,102,TEAM
2915076820050910,09/10/2005,2915,768,143,TEAM
0732069820050915,09/15/2005,732,698,125,TEAM
0288070420050916,09/16/2005,288,704,124,TEAM
0005041920050917,09/17/2005,5,419,116,TEAM
0008064820050917,09/17/2005,8,648,113,TEAM
0030052120050917,09/17/2005,30,521,104,TEAM
0031065720050917,09/17/2005,31,657,14,TEAM
0047003720050917,09/17/2005,47,37,1,TEAM
0051072520050917,09/17/2005,51,725,93,TEAM
0096052920050917,09/17/2005,96,529,108,TEAM
0108067420050917,09/17/2005,108,674,19,TEAM
0128065120050917,09/17/2005,128,651,35,TEAM
0129053920050917,09/17/2005,129,539,111,TEAM
0164025520050917,09/17/2005,164,255,37,TEAM
0196074920050917,09/17/2005,196,749,83,TEAM
0202049020050917,09/17/2005,202,490,82,TEAM
0204041820050917,09/17/2005,204,418,66,TEAM
0229042820050917,09/17/2005,229,428,72,TEAM
0234006720050917,09/17/2005,234,67,61,TEAM
0261075420050917,09/17/2005,261,754,140,NEUTRAL
0295075620050917,09/17/2005,295,756,139,TEAM
0301010720050917,09/17/2005,301,107,12,TEAM
0315000920050917,09/17/2005,315,9,2,TEAM
0334030620050917,09/17/2005,334,306,47,TEAM
0366032820050917,09/17/2005,366,328,51,TEAM
0402066420050917,09/17/2005,402,664,75,TEAM
0414033120050917,09/17/2005,414,331,100,TEAM
0415014720050917,09/17/2005,415,147,112,TEAM
0416051320050917,09/17/2005,416,513,49,TEAM
0430071820050917,09/17/2005,430,718,60,TEAM
0433073620050917,09/17/2005,433,736,117,TEAM
0465046620050917,09/17/2005,465,466,90,TEAM
0472047320050917,09/17/2005,472,473,87,TEAM
0498025720050917,09/17/2005,498,257,36,TEAM
0504031220050917,09/17/2005,504,312,41,TEAM
0508067120050917,09/17/2005,508,671,56,TEAM
0509002820050917,09/17/2005,509,28,10,TEAM
0519074220050917,09/17/2005,519,742,136,TEAM
0522011020050917,09/17/2005,522,110,15,TEAM
0528036720050917,09/17/2005,528,367,54,TEAM
0545046320050917,09/17/2005,545,463,84,TEAM
0559002920050917,09/17/2005,559,29,11,TEAM
0574070320050917,09/17/2005,574,703,119,TEAM
0587008620050917,09/17/2005,587,86,91,TEAM
0624070020050917,09/17/2005,624,700,129,TEAM
0626051820050917,09/17/2005,626,518,99,TEAM
0659077420050917,09/17/2005,659,774,69,TEAM
0663069720050917,09/17/2005,663,697,120,TEAM
0692050320050917,09/17/2005,692,503,45,TEAM
0693040420050917,09/17/2005,693,404,115,TEAM
0694023520050917,09/17/2005,694,235,27,TEAM
0709069020050917,09/17/2005,709,690,109,TEAM
0716043420050917,09/17/2005,716,434,73,TEAM
0719049720050917,09/17/2005,719,497,123,TEAM
0741019320050917,09/17/2005,741,193,80,TEAM
0746068820050917,09/17/2005,746,688,92,TEAM
0768039220050917,09/17/2005,768,392,64,TEAM
0769014020050917,09/17/2005,769,140,97,TEAM
0796045720050917,09/17/2005,796,457,78,TEAM
0811072120050917,09/17/2005,811,721,21,TEAM
0071006620050921,09/21/2005,71,66,42,TEAM
0498022920050922,09/22/2005,498,229,26,TEAM
0670069720050922,09/22/2005,670,697,120,TEAM
0721073220050922,09/22/2005,721,732,135,TEAM
0107047220050923,09/23/2005,107,472,88,TEAM
0311072520050923,09/23/2005,311,725,93,TEAM
0028052820050924,09/24/2005,28,528,107,TEAM
0031000820050924,09/24/2005,31,8,5,TEAM
0067014720050924,09/24/2005,67,147,112,TEAM
0157041520050924,09/24/2005,157,415,29,TEAM
0193074620050924,09/24/2005,193,746,137,TEAM
0196076820050924,09/24/2005,196,768,143,TEAM
0204012920050924,09/24/2005,204,129,70,TEAM
0231003020050924,09/24/2005,231,30,7,TEAM
0235033420050924,09/24/2005,235,334,53,TEAM
0255074220050924,09/24/2005,255,742,136,TEAM
0257043020050924,09/24/2005,257,430,77,TEAM
0277029520050924,09/24/2005,277,295,43,TEAM
0305070020050924,09/24/2005,305,700,129,TEAM
0312051820050924,09/24/2005,312,518,99,TEAM
0331051920050924,09/24/2005,331,519,95,TEAM
0367065120050924,09/24/2005,367,651,35,TEAM
0388012820050924,09/24/2005,388,128,32,TEAM
0392074920050924,09/24/2005,392,749,83,TEAM
0404071920050924,09/24/2005,404,719,105,TEAM
0416030120050924,09/24/2005,416,301,44,TEAM
0418079620050924,09/24/2005,418,796,141,TEAM
0457049020050924,09/24/2005,457,490,82,TEAM
0465073120050924,09/24/2005,465,731,133,TEAM
0466015620050924,09/24/2005,466,156,23,TEAM
0473070420050924,09/24/2005,473,704,124,TEAM
0497032720050924,09/24/2005,497,327,52,TEAM
0503000520050924,09/24/2005,503,5,94,TEAM
0513075620050924,09/24/2005,513,756,139,TEAM
0539050920050924,09/24/2005,539,509,46,TEAM
0559042820050924,09/24/2005,559,428,72,TEAM
0575073620050924,09/24/2005,575,736,117,TEAM
0630062620050924,09/24/2005,630,626,16,TEAM
0657052920050924,09/24/2005,657,529,108,TEAM
0698007720050924,09/24/2005,698,77,134,TEAM
0716064820050924,09/24/2005,716,648,113,TEAM
0718066320050924,09/24/2005,718,663,122,TEAM
0772003720050924,09/24/2005,772,37,1,TEAM
0774069020050924,09/24/2005,774,690,109,TEAM
0811043320050924,09/24/2005,811,433,76,TEAM
0817054520050924,09/24/2005,817,545,110,TEAM
0694036520050926,09/26/2005,694,365,55,TEAM
