"Game Code","Play Number","Team Code","Player Code","Attempt","Yards","Fair Catch","Touchback","Downed","Out Of Bounds","Onside","Onside Success"
0690002820050901,1,690,71843,1,65,0,1,0,0,0,0
0690002820050901,29,28,61824,1,65,0,1,0,0,0,0
0690002820050901,49,28,61824,1,65,0,1,0,0,0,0
0690002820050901,62,28,61824,1,80,0,0,0,0,0,0
0690002820050901,74,28,61824,1,65,0,1,0,0,0,0
0690002820050901,99,28,61824,1,65,0,1,0,0,0,0
0690002820050901,102,28,61824,1,70,0,0,0,0,0,0
0690002820050901,114,28,61824,1,65,0,1,0,0,0,0
0690002820050901,138,28,61824,1,65,0,1,0,0,0,0
0690002820050901,151,690,71843,1,65,0,0,0,0,0,0
0690002820050901,168,28,61824,1,65,0,1,0,0,0,0
0690002820050901,177,28,61824,1,65,0,1,0,0,0,0
0690002820050901,183,690,71843,1,50,0,1,0,0,0,0
0690002820050901,195,28,11,1,65,0,0,0,0,0,0
0204014020050901,1,204,64679,1,62,0,0,0,0,0,0
0204014020050901,13,140,76483,1,56,0,0,0,0,0,0
0204014020050901,31,204,64679,1,47,0,0,0,0,0,0
0204014020050901,42,140,76483,1,58,0,0,0,0,0,0
0204014020050901,48,204,64679,1,65,0,1,0,0,0,0
0204014020050901,77,204,64679,1,69,0,0,0,0,0,0
0204014020050901,92,204,64679,1,65,0,1,0,0,0,0
0204014020050901,103,140,76483,1,62,0,0,0,0,0,0
0204014020050901,112,140,76483,1,70,0,1,0,0,0,0
0204014020050901,152,140,76483,1,61,0,0,0,0,0,0
0204014020050901,161,204,64679,1,70,0,0,0,0,0,0
0086016420050901,1,164,46681,1,65,0,1,0,0,0,0
0086016420050901,20,164,46681,1,64,0,0,0,0,0,0
0086016420050901,61,164,46681,1,55,0,0,0,0,0,0
0086016420050901,73,164,46681,1,65,0,0,0,0,0,0
0086016420050901,86,164,46681,1,44,0,0,0,0,0,0
0086016420050901,95,86,68640,1,62,0,0,0,0,0,0
0086016420050901,122,164,46681,1,65,0,0,0,0,0,0
0086016420050901,150,164,46681,1,62,0,0,0,0,0,0
0529028820050901,1,288,78837,1,54,0,0,0,0,0,0
0529028820050901,18,529,55963,1,56,0,0,0,0,0,0
0529028820050901,23,288,78837,1,50,0,0,0,0,0,0
0529028820050901,32,529,55963,1,54,0,0,0,0,0,0
0529028820050901,35,288,84537,1,56,0,0,0,0,0,0
0529028820050901,48,529,55963,1,54,0,0,0,0,0,0
0529028820050901,56,288,84538,1,43,0,0,0,0,0,0
0529028820050901,68,529,79026,1,63,0,0,0,0,0,0
0529028820050901,104,529,79026,1,65,0,1,0,0,0,0
0529028820050901,116,529,79026,1,55,0,0,0,0,0,0
0529028820050901,138,529,79026,1,36,0,0,0,0,0,0
0529028820050901,153,529,79026,1,60,0,0,0,0,0,0
0529028820050901,170,529,79026,1,61,0,0,0,0,0,0
0529028820050901,211,288,84537,1,55,0,0,0,0,0,0
0786038820050901,1,786,41887,1,65,0,0,0,0,0,0
0786038820050901,7,388,59477,1,60,0,0,0,0,0,0
0786038820050901,13,786,41887,1,64,0,0,0,1,0,0
0786038820050901,33,388,59477,1,65,0,1,0,0,0,0
0786038820050901,73,786,41887,1,65,0,0,0,0,0,0
0786038820050901,80,388,59477,1,65,0,0,0,0,0,0
