"Team Code","Game Code","Rush Att","Rush Yard","Rush TD","Pass Att","Pass Comp","Pass Yard","Pass TD","Pass Int","Pass Conv","Kickoff Ret","Kickoff Ret Yard","Kickoff Ret TD","Punt Ret","Punt Ret Yard","Punt Ret TD","Fum Ret","Fum Ret Yard","Fum Ret TD","Int Ret","Int Ret Yard","Int Ret TD","Misc Ret","Misc Ret Yard","Misc Ret TD","Field Goal Att","Field Goal Made","Off XP Kick Att","Off XP Kick Made","Off 2XP Att","Off 2XP Made","Def 2XP Att","Def 2XP Made","Safety","Points","Punt","Punt Yard","Kickoff","Kickoff Yard","Kickoff Touchback","Kickoff Out-Of-Bounds","Kickoff Onside","Fumble","Fumble Lost","Tackle Solo","Tackle Assist","Tackle For Loss","Tackle For Loss Yard","Sack","Sack Yard","QB Hurry","Fumble Forced","Pass Broken Up","Kick/Punt Blocked","1st Down Rush","1st Down Pass","1st Down Penalty","Time Of Possession","Penalty","Penalty Yard","Third Down Att","Third Down Conv","Fourth Down Att","Fourth Down Conv","Red Zone Att","Red Zone TD","Red Zone Field Goal"
5,0688000520100904,24,55,0,35,12,111,0,0,0,5,102,0,0,0,0,1,29,0,1,34,0,0,0,0,2,1,0,0,0,0,0,0,0,3,10,383,2,103,0,0,0,0,0,42,34,2.0,15,1.0,9,0,3,4,0,2,5,2,1540,10,82,17,4,1,0,0,0,0
5,1092000520100911,44,224,4,21,14,165,1,1,0,5,120,0,2,15,0,0,0,0,1,12,0,0,0,0,2,1,5,4,0,0,0,0,0,37,3,103,7,431,2,1,0,3,1,41,34,6.0,19,3.0,15,0,1,3,0,13,8,1,1774,5,50,12,6,1,1,5,3,0
5,0005033420100918,37,67,0,24,6,105,1,0,0,3,54,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,10,10,387,3,150,0,0,0,0,0,41,40,3.0,6,0.0,0,2,0,1,0,5,5,2,1774,6,50,16,4,1,1,1,0,1
5,0005030620100925,30,160,0,27,15,175,2,0,0,5,112,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,20,3,109,5,230,0,0,0,1,0,36,26,6.0,34,1.0,8,2,1,2,0,7,10,1,1740,5,46,11,5,1,0,2,1,1
5,0503000520101002,27,129,2,27,14,128,0,2,0,9,176,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,14,7,255,3,188,0,0,0,0,0,43,35,4.0,13,2.0,7,0,0,1,0,4,7,0,1448,5,67,13,6,0,0,2,2,0
5,0005033120101009,35,62,2,33,16,133,0,3,0,4,87,0,3,5,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,17,7,321,4,234,0,0,0,3,2,40,22,5.0,22,1.0,8,1,2,5,0,6,8,4,1967,10,65,14,4,1,1,3,2,1
5,0005051920101016,24,72,0,34,21,206,1,2,0,7,110,0,0,0,0,0,0,0,1,3,0,1,0,0,2,1,1,1,0,0,0,0,0,10,5,187,3,157,0,1,0,1,0,37,48,5.0,8,0.0,0,0,0,0,1,4,9,2,1505,6,40,14,7,0,0,3,1,1
5,0774000520101023,41,154,0,24,12,120,0,1,0,7,126,0,1,-1,0,1,57,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,10,6,233,2,131,1,0,0,2,2,29,27,4.0,23,3.0,22,0,0,4,0,5,6,3,1888,2,25,16,4,4,1,1,0,0
5,0005069020101030,28,20,0,27,15,134,0,1,0,5,63,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,383,1,70,1,0,0,2,0,50,4,7.0,12,1.0,5,0,1,2,0,1,7,0,1738,3,25,16,4,0,0,0,0,0
5,0005004720101106,36,180,0,39,18,178,4,3,0,6,131,0,0,0,0,0,0,0,3,-2,0,0,0,0,1,1,4,3,0,0,0,0,0,30,8,277,4,223,0,0,1,3,0,38,34,4.0,22,2.0,12,5,1,3,0,6,11,2,1863,3,25,16,4,1,0,5,3,1
