"Game Code","Play Number","Team Code","Player Code","Attempt","Yards","Touchdown","Fumble","Fumble Lost","Safety","Fair Catch"
0229000920100902,1,229,1008899,1,19,0,0,0,0,0
0229000920100902,29,229,1008899,1,18,0,0,0,0,0
0229000920100902,42,229,1008899,1,26,0,0,0,0,0
0229000920100902,52,9,1022924,1,20,0,0,0,0,0
0229000920100902,72,9,1000089,1,22,0,0,0,0,0
0229000920100902,82,229,1008899,1,12,0,0,0,0,0
0229000920100902,84,9,1022924,1,15,0,0,0,0,0
0229000920100902,96,229,1008899,1,20,0,0,0,0,0
0229000920100902,109,9,1000089,1,27,0,0,0,0,0
0229000920100902,120,9,1000089,1,23,0,0,0,0,0
0229000920100902,142,229,1008899,1,19,0,0,0,0,0
0654004720100902,1,47,1023165,1,34,0,0,0,0,0
0654004720100902,14,654,1021522,1,5,0,0,0,0,0
0654004720100902,27,47,1023148,1,14,0,0,0,0,0
0654004720100902,80,654,1036113,1,11,0,0,0,0,0
0654004720100902,97,654,1036113,1,26,0,0,0,0,0
0654004720100902,109,654,1021520,1,20,0,0,0,0,0
0654004720100902,135,47,1023165,1,37,0,0,0,0,0
0654004720100902,146,654,1036113,1,14,0,0,0,0,0
0572008620100902,1,86,1008433,1,18,0,0,0,0,0
0572008620100902,23,572,1035830,1,39,0,0,0,0,0
0572008620100902,58,572,1035830,1,34,0,0,0,0,0
0572008620100902,87,572,1035830,1,21,0,0,0,0,0
0572008620100902,101,572,1006575,1,23,0,0,0,0,0
0572008620100902,105,572,1021300,1,68,0,0,0,0,0
0572008620100902,126,572,1035827,1,17,0,0,0,0,0
0270012920100902,1,270,1035430,1,36,0,0,0,0,0
0270012920100902,21,129,1023542,1,81,0,0,0,0,0
0270012920100902,24,270,1035418,1,9,0,1,1,0,0
0270012920100902,28,270,1035430,1,17,0,0,0,0,0
0270012920100902,70,270,1035430,1,26,0,0,0,0,0
0270012920100902,147,270,1035430,1,11,0,0,0,0,0
0657027720100902,28,657,1033848,1,21,0,0,0,0,0
0657027720100902,41,277,1009123,1,14,0,0,0,0,0
0657027720100902,71,657,1033848,1,0,0,0,0,0,0
0657027720100902,86,657,1033848,1,30,0,0,0,0,0
