"Game Code","Drive Number","Team Code","Start Period","Start Clock","Start Spot","Start Reason","End Period","End Clock","End Spot","End Reason","Plays","Yards","Time Of Possession","Red Zone Attempt"
0229000920100902,1,229,1,900,78,"KICKOFF",1,767,86,"PUNT",3,-8,133,0
0229000920100902,2,9,1,767,48,"PUNT",1,646,47,"PUNT",3,1,121,0
0229000920100902,3,229,1,646,93,"PUNT",1,469,73,"PUNT",6,20,177,0
0229000920100902,4,9,1,469,81,"PUNT",1,389,74,"PUNT",3,7,80,0
0229000920100902,5,229,1,389,89,"PUNT",1,310,81,"PUNT",3,8,79,0
0229000920100902,6,9,1,310,50,"PUNT",1,298,0,"TOUCHDOWN",1,50,12,0
0229000920100902,7,229,1,291,77,"KICKOFF",1,205,70,"PUNT",3,7,86,0
0229000920100902,8,9,1,205,80,"PUNT",1,42,0,"TOUCHDOWN",7,80,163,1
0229000920100902,9,229,1,34,71,"KICKOFF",2,719,0,"TOUCHDOWN",8,71,215,0
0229000920100902,10,9,2,712,78,"KICKOFF",2,403,65,"PUNT",6,13,309,0
0229000920100902,11,229,2,403,85,"PUNT",2,394,79,"PUNT",3,6,9,0
0229000920100902,12,9,2,394,60,"PUNT",2,269,60,"PUNT",3,0,125,0
0229000920100902,13,229,2,269,78,"PUNT",2,216,0,"TOUCHDOWN",2,78,53,0
0229000920100902,14,9,2,204,75,"KICKOFF",2,46,0,"TOUCHDOWN",8,75,158,1
0229000920100902,15,229,2,39,70,"KICKOFF",2,0,67,"END OF HALF",1,3,39,0
0229000920100902,16,9,3,893,80,"KICKOFF",3,710,0,"TOUCHDOWN",9,80,183,1
0229000920100902,17,229,3,701,72,"KICKOFF",3,444,43,"PUNT",6,29,257,0
0229000920100902,18,9,3,444,75,"PUNT",3,379,74,"INTERCEPTION",2,1,65,0
0229000920100902,19,9,3,371,70,"KICKOFF",3,267,69,"PUNT",3,1,104,0
0229000920100902,20,229,3,267,73,"PUNT",3,148,0,"TOUCHDOWN",5,73,119,0
0229000920100902,21,9,3,141,74,"KICKOFF",3,20,78,"PUNT",3,-4,121,0
0229000920100902,22,229,3,20,87,"PUNT",4,842,85,"PUNT",3,2,78,0
0229000920100902,23,9,4,842,63,"PUNT",4,716,56,"PUNT",3,7,126,0
0229000920100902,24,229,4,716,80,"PUNT",4,657,79,"INTERCEPTION",3,1,59,0
0229000920100902,25,9,4,657,40,"INTERCEPTION",4,448,17,"FIELD GOAL",6,23,209,1
0229000920100902,26,229,4,439,76,"KICKOFF",4,251,62,"PUNT",5,14,188,0
0229000920100902,27,9,4,251,99,"PUNT",4,151,93,"PUNT",3,6,100,0
0229000920100902,28,229,4,151,38,"PUNT",4,140,0,"TOUCHDOWN",1,38,11,0
0229000920100902,29,9,4,140,80,"KICKOFF",4,0,11,"MISSED FIELD GOAL",9,69,140,1
0654004720100902,1,47,1,900,63,"KICKOFF",1,535,0,"TOUCHDOWN",11,63,365,1
0654004720100902,2,654,1,532,73,"KICKOFF",1,201,0,"TOUCHDOWN",10,73,331,1
0654004720100902,3,47,1,196,75,"KICKOFF",1,52,62,"PUNT",5,13,144,0
0654004720100902,4,654,1,52,79,"PUNT",2,838,57,"PUNT",5,22,114,0
0654004720100902,5,47,2,838,92,"PUNT",2,545,55,"PUNT",9,37,293,0
0654004720100902,6,654,2,545,80,"PUNT",2,381,70,"PUNT",5,10,164,0
0654004720100902,7,47,2,381,73,"PUNT",2,328,70,"INTERCEPTION",3,3,53,0
0654004720100902,8,654,2,328,30,"INTERCEPTION",2,266,24,"FUMBLE",2,6,62,0
0654004720100902,9,47,2,266,76,"FUMBLE",2,87,55,"PUNT",6,21,179,0
0654004720100902,10,654,2,87,80,"PUNT",2,0,55,"END OF HALF",5,25,87,0
0654004720100902,11,654,3,894,84,"KICKOFF",3,758,80,"PUNT",3,4,136,0
0654004720100902,12,47,3,758,51,"PUNT",3,525,0,"TOUCHDOWN",9,51,233,1
0654004720100902,13,654,3,517,72,"KICKOFF",3,510,61,"FUMBLE",1,11,7,0
0654004720100902,14,47,3,510,39,"FUMBLE",3,293,0,"TOUCHDOWN",8,39,217,1
0654004720100902,15,654,3,287,80,"KICKOFF",3,198,76,"PUNT",3,4,89,0
0654004720100902,16,47,3,198,24,"PUNT",3,48,12,"FIELD GOAL",7,12,150,1
0654004720100902,17,654,3,48,80,"KICKOFF",4,687,36,"FIELD GOAL",10,44,261,0
0654004720100902,18,47,4,678,55,"KICKOFF",4,340,1,"FIELD GOAL",10,54,338,1
0654004720100902,19,654,4,333,89,"KICKOFF",4,226,46,"FUMBLE",6,43,107,0
0654004720100902,20,47,4,226,54,"FUMBLE",4,0,24,"END OF HALF",6,30,226,0
0572008620100902,1,86,1,900,75,"KICKOFF",1,798,46,"PUNT",5,29,102,0
0572008620100902,2,572,1,798,99,"PUNT",1,700,92,"PUNT",3,7,98,0
0572008620100902,3,86,1,700,65,"PUNT",1,502,14,"FIELD GOAL",9,51,198,1
0572008620100902,4,572,1,495,47,"KICKOFF",1,236,22,"DOWNS",11,25,259,1
0572008620100902,5,86,1,236,78,"DOWNS",1,50,32,"FUMBLE",10,46,186,0
0572008620100902,6,572,1,50,24,"FUMBLE",2,823,7,"INTERCEPTION",5,17,127,1
0572008620100902,7,86,2,823,76,"INTERCEPTION",2,691,0,"TOUCHDOWN",7,76,132,1
0572008620100902,8,572,2,685,64,"KICKOFF",2,596,45,"PUNT",4,19,89,0
0572008620100902,9,86,2,596,90,"PUNT",2,473,87,"PUNT",3,3,123,0
0572008620100902,10,572,2,473,48,"PUNT",2,353,39,"DOWNS",4,9,120,0
0572008620100902,11,86,2,353,61,"DOWNS",2,307,58,"INTERCEPTION",3,3,46,0
0572008620100902,12,572,2,307,47,"INTERCEPTION",2,122,62,"FUMBLE",6,-15,185,0
0572008620100902,13,86,2,122,38,"FUMBLE",2,116,0,"TOUCHDOWN",1,38,6,0
0572008620100902,14,572,2,111,78,"KICKOFF",2,78,72,"PUNT",3,6,33,0
0572008620100902,15,86,2,78,46,"PUNT",2,40,0,"TOUCHDOWN",5,46,38,0
0572008620100902,16,572,2,33,52,"KICKOFF",2,0,60,"END OF HALF",3,-8,33,0
0572008620100902,17,572,3,886,20,"KICKOFF",3,813,11,"MISSED FIELD GOAL",4,9,73,1
0572008620100902,18,86,3,813,80,"MISSED FIELD GOAL",3,682,84,"PUNT",3,-4,131,0
0572008620100902,19,572,3,682,46,"PUNT",3,541,55,"PUNT",3,-9,141,0
0572008620100902,20,86,3,541,69,"PUNT",3,462,0,"TOUCHDOWN",5,69,79,1
0572008620100902,21,572,3,457,79,"KICKOFF",3,305,63,"PUNT",4,16,152,0
0572008620100902,22,86,3,305,91,"PUNT",3,214,85,"PUNT",3,6,91,0
0572008620100902,23,572,3,214,77,"PUNT",3,161,82,"PUNT",3,-5,53,0
0572008620100902,24,86,3,161,60,"PUNT",3,104,53,"PUNT",3,7,57,0
0572008620100902,25,572,3,104,91,"PUNT",4,833,44,"PUNT",8,47,171,0
0572008620100902,26,86,4,833,86,"PUNT",4,621,46,"PUNT",9,40,212,0
0572008620100902,27,572,4,621,83,"PUNT",4,353,54,"PUNT",11,29,268,0
0572008620100902,28,86,4,353,73,"PUNT",4,250,58,"PUNT",4,15,103,0
0572008620100902,29,572,4,250,84,"PUNT",4,118,64,"PUNT",5,20,132,0
0572008620100902,30,86,4,118,93,"PUNT",4,0,80,"END OF HALF",3,13,118,0
0270012920100902,1,270,1,900,61,"KICKOFF",1,821,53,"PUNT",3,8,79,0
0270012920100902,2,129,1,821,71,"PUNT",1,723,63,"PUNT",4,8,98,0
0270012920100902,3,270,1,723,78,"PUNT",1,592,100,"SAFETY",7,-22,131,0
0270012920100902,4,129,1,592,2,"KICKOFF",1,575,0,"TOUCHDOWN",1,2,17,1
0270012920100902,5,129,1,568,12,"FUMBLE",1,541,0,"TOUCHDOWN",2,12,27,1
0270012920100902,6,270,1,541,83,"KICKOFF",1,461,81,"PUNT",3,2,80,0
0270012920100902,7,129,1,461,40,"PUNT",1,407,35,"DOWNS",4,5,54,0
0270012920100902,8,270,1,407,65,"DOWNS",1,350,57,"PUNT",3,8,57,0
0270012920100902,9,129,1,350,80,"PUNT",1,173,22,"MISSED FIELD GOAL",9,58,177,0
0270012920100902,10,270,1,173,78,"MISSED FIELD GOAL",2,820,56,"PUNT",9,22,253,0
0270012920100902,11,129,2,820,40,"PUNT",2,581,0,"TOUCHDOWN",8,40,239,1
0270012920100902,12,270,2,581,68,"KICKOFF",2,485,68,"PUNT",3,0,96,0
0270012920100902,13,129,2,485,85,"PUNT",2,421,79,"PUNT",3,6,64,0
0270012920100902,14,270,2,421,60,"PUNT",2,176,44,"INTERCEPTION",12,16,245,1
0270012920100902,15,129,2,176,83,"INTERCEPTION",2,0,30,"END OF HALF",9,53,176,0
0270012920100902,16,129,3,900,60,"KICKOFF",3,732,48,"PUNT",7,12,168,0
0270012920100902,17,270,3,732,88,"PUNT",3,524,57,"PUNT",8,31,208,0
0270012920100902,18,129,3,524,78,"PUNT",3,398,70,"PUNT",3,8,126,0
0270012920100902,19,270,3,398,67,"PUNT",3,262,49,"PUNT",5,18,136,0
0270012920100902,20,129,3,262,88,"PUNT",3,32,12,"FIELD GOAL",12,76,230,1
0270012920100902,21,270,3,32,92,"KICKOFF",4,880,93,"PUNT",3,-1,52,0
0270012920100902,22,129,4,880,30,"PUNT",4,821,0,"TOUCHDOWN",4,30,59,1
0270012920100902,23,270,4,821,80,"KICKOFF",4,738,63,"PUNT",6,17,83,0
0270012920100902,24,129,4,738,71,"PUNT",4,520,3,"MISSED FIELD GOAL",10,68,218,1
0270012920100902,25,270,4,520,80,"MISSED FIELD GOAL",4,471,78,"PUNT",3,2,49,0
