"Game Code","Attendance","Duration"
0207046620100902,16313,185
0228041520100902,53674,159
0229000920100902,25885,165
0270012920100902,17311,197
0388051820100902,105040,179
0428041920100902,25908,183
0454033120100902,16535,175
0485058720100902,46311,186
0494029520100902,11466,190
0503031120100902,43116,192
0545073220100902,45730,202
0572008620100902,16273,185
0654004720100902,10753,154
0655071820100902,20258,185
0657027720100902,44204,229
0664064820100902,70438,210
0711030620100902,35242,189
1320074920100902,28205,188
0029070920100903,25907,183
0739069020100903,32193,201
0030003720100904,83441,210
0071071620100904,19886,216
0102067420100904,30626,184
0108010720100904,58040,175
0110032720100904,51059,210
0140009620100904,37238,200
0149076820100904,57862,184
0157015620100904,60989,169
0164041820100904,113090,195
0201031220100904,70585,163
0301043420100904,58060,200
0315043320100904,55768,220
0334036720100904,55327,193
0365045720100904,68919,217
0366026120100904,500,175
0404043020100904,56032,180
0414023520100904,90178,197
0473052920100904,59104,184
0483062620100904,25290,178
0493032820100904,48417,172
0497014720100904,75000,199
0508072120100904,40236,223
0509073620100904,37210,197
0528069820100904,46138,185
0550002820100904,43238,197
0559051320100904,80795,181
0575074620100904,54146,196
0624005120100904,42821,194
0625023420100904,68438,195
0630000820100904,101821,170
0647025520100904,51668,173
0650012820100904,34373,157
0667081120100904,20043,183
0670028820100904,32119,184
0671025720100904,92746,196
0676069720100904,81287,198
0683065120100904,40201,197
0688000520100904,15969,180
0692003120100904,69596,174
0695069420100904,99123,196
0703057420100904,70445,183
0725020420100904,11318,181
0731052220100904,85151,198
0754052120100904,48962,208
0756007720100904,63771,204
0758006720100904,34168,187
0769049020100904,56417,183
0772046320100904,85555,184
0774041620100904,75769,201
0796046520100904,31107,169
0817053920100904,101213,175
1068019320100904,33941,192
2678070420100904,30029,163
2915051920100904,22955,166
0663070020100905,57528,204
0719019620100905,50010,233
0066074220100906,86587,207
0726039220100906,69348,190
0037043020100909,54806,190
0129069020100909,15152,188
0704028820100910,32119,204
0768038820100910,41382,218
0009066320100911,16612,184
0030067120100911,15103,217
0031049820100911,55705,183
0043041920100911,16806,215
0071071920100911,19565,187
0077072120100911,46692,182
0086005120100911,40853,209
0141002920100911,54814,177
0156046620100911,18098,169
0157010720100911,55440,187
0193074920100911,31673,210
0202036720100911,51427,193
0204041420100911,12857,167
0234052220100911,85630,223
0253072620100911,33391,170
0255032820100911,46907,194
0257064820100911,80974,191
0277072520100911,30042,179
0294073120100911,18347,180
0295046320100911,85732,177
0299050920100911,25471,175
0305014020100911,30807,176
0311031220100911,70585,190
0317074220100911,66233,157
0331006720100911,35122,185
0355004720100911,9110,175
0365073620100911,36940,185
0366069720100911,77579,205
0402043420100911,55582,164
0404019620100911,48123,201
0415051820100911,105454,208
0416022920100911,36124,180
0418051320100911,80795,217
0433071820100911,36389,180
0440075420100911,26356,191
0446039220100911,40099,188
0465073220100911,45102,180
0469054520100911,50120,179
0483077420100911,19327,176
0490012820100911,43020,206
0494050320100911,18046,244
0501002820100911,49043,193
0529069420100911,102035,264
0539000820100911,101821,183
0553066420100911,27316,174
0574049720100911,23743,215
0587023120100911,19872,200
0626047220100911,16891,205
0630079620100911,78469,182
0650042820100911,49554,199
0651023520100911,90612,195
0659030120100911,52217,217
0669032720100911,48672,203
0674011020100911,56931,186
0688075620100911,62418,203
0692069820100911,37117,173
0699016420100911,37359,182
0700047320100911,25734,199
0709051920100911,19455,182
0716052120100911,48820,204
0746065720100911,81375,199
0771055920100911,47301,204
0772033420100911,66584,182
0811070320100911,101339,191
1092000520100911,10046,195
1320014720100911,70500,185
0140049020100916,55934,220
0107046620100917,28809,199
0328066420100917,30211,189
0005033420100918,64014,184
0008019320100918,39042,206
0028079620100918,81332,190
0031025720100918,92746,197
0047055920100918,54124,180
0051069820100918,47393,175
0066081120100918,29014,191
0077023420100918,68795,193
0096073120100918,19059,181
0128008620100918,14312,189
0129020420100918,20348,197
0147003720100918,87451,232
0156041420100918,16691,159
0164069020100918,18702,209
0196074220100918,66233,182
0231069720100918,79069,205
0235069420100918,102455,199
0244064820100918,73681,184
0255045720100918,58500,178
0277015720100918,47840,177
0288011020100918,54407,185
0306077220100918,20772,197
0311032720100918,38468,185
0312002920100918,57864,214
0331053920100918,100610,172
0367052820100918,45379,192
0380068820100918,37758,196
0388007120100918,20515,197
0392076820100918,60122,206
0400041820100918,110187,199
0419040420100918,27965,190
0430036520100918,92538,165
0463075620100918,72876,186
0465029520100918,15390,174
0472070420100918,39214,173
0497072520100918,24689,190
0498003020100918,23176,192
0503030120100918,50569,202
0509057420100918,15562,190
0513041620100918,78411,217
0519051820100918,105075,177
0550052920100918,58086,189
0626043420100918,56050,200
0657042820100918,50442,193
0667063020100918,16739,195
0703070020100918,60454,198
0709077420100918,14216,193
0716000920100918,23681,191
0719052120100918,51778,197
0721052220100918,84332,196
0726036620100918,23122,176
0732047320100918,23940,199
0736043320100918,51667,208
0749067420100918,39061,192
0754066320100918,18184,204
0415054520100923,58115,194
0698066320100924,35481,193
0005030620100925,42258,169
0008003120100925,76808,202
0009069420100925,95183,223
0030071620100925,16320,299
0043079620100925,77224,173
0047031220100925,70585,179
0048027720100925,30300,209
0051057420100925,23395,189
0071041820100925,109933,196
0086016420100925,36738,216
0096043320100925,55267,219
0107002920100925,51906,183
0110070320100925,101437,196
0128032720100925,50586,189
0129050920100925,30075,204
0153068820100925,38068,168
0204051820100925,105017,202
0231039220100925,33254,227
0257043020100925,56721,187
0295015620100925,23925,185
0334023520100925,90547,193
0404070420100925,29765,179
0414043420100925,60329,173
0419067120100925,17249,185
0457058720100925,52038,194
0466007720100925,61471,189
0472032820100925,46719,173
0473046520100925,16961,186
0490025520100925,48825,201
0497022920100925,15143,169
0502041620100925,70926,181
0503042820100925,49368,195
0504031120100925,48874,168
0519038820100925,28143,182
0522014020100925,58253,222
0528006620100925,34137,185
0529002820100925,60326,225
0630073220100925,45099,163
0648003720100925,87237,201
0649046320100925,85573,175
0655049820100925,15285,186
0657075420100925,24310,189
0664036620100925,22344,186
0674051320100925,80795,215
0690053920100925,104840,190
0709055920100925,42068,199
0718028820100925,32007,207
0721081120100925,22413,170
0725019320100925,27289,165
0731062620100925,45682,178
0741074620100925,43592,186
0742006720100925,42317,182
0749023420100925,61647,224
0768036520100925,92575,186
0772065120100925,40276,190
1004071920100925,21928,185
0697052120100930,48284,224
0077073120101001,24152,202
0017043020101002,50439,187
0028052820101002,45409,195
0047012920101002,20152,195
0066047220101002,19661,183
0086007120101002,14544,205
0090009620101002,37069,170
0108063020101002,17844,172
0193039220101002,39106,189
0196045720101002,60000,188
0229065120101002,38434,156
0231054520101002,45207,196
0234074620101002,47096,193
0235000820101002,101821,179
0255074920101002,30263,197
0257015720101002,52855,212
0295077420101002,18508,203
0328005120101002,35405,197
0331041420101002,17666,177
0334043320101002,55344,234
0366027720101002,29469,188
0367003020101002,25219,186
0388066420101002,27518,207
0415014720101002,81500,234
0418030620101002,52929,196
0466046520101002,28958,180
0498003720101002,80759,176
0503000520101002,12133,230
0509042820101002,49228,189
0513006720101002,44500,204
0518030120101002,62870,177
0519020420101002,16753,200
0539031220101002,70585,176
0663057420101002,14981,192
0671049720101002,17015,210
0674052920101002,59818,208
0690072520101002,33065,207
0694036520101002,92932,192
0698015620101002,22553,161
0700031120101002,43162,203
0703052220101002,96009,207
0704047320101002,22511,184
0718058720101002,47963,172
0719040420101002,22231,174
0726072120101002,47565,164
0736016420101002,40000,196
0742049020101002,58083,205
0754011020101002,62072,198
0756065720101002,82796,199
0796041620101002,73108,189
0811070920101002,20843,179
0716041920101005,28010,195
0009012820101006,40281,175
0463032720101007,51015,191
0164058720101008,48431,213
0521067120101008,25881,228
0005033120101009,24221,201
0008064820101009,82993,205
0028075620101009,65685,181
0030049720101009,14589,175
0031069720101009,65622,222
0037033420101009,70776,192
0051070020101009,48213,220
0067049020101009,56859,200
0071051920101009,19855,196
0110010720101009,61664,184
0129074220101009,66233,204
0147045720101009,60000,201
0156072120101009,41547,174
0157043420101009,62965,182
0196066420101009,32334,235
0204073620101009,33107,192
0229049820101009,16513,170
0234041520101009,75115,214
0277009620101009,38494,202
0301053920101009,107638,178
0306051820101009,105291,187
0365023520101009,90721,205
0404036720101009,48427,167
0414014020101009,33909,178
0416041820101009,113065,190
0428079620101009,80328,189
0430028820101009,32067,211
0465076820101009,58234,180
0473047220101009,21437,230
0528002920101009,56054,199
0529075420101009,24768,189
0545051320101009,80795,192
0559050920101009,33847,192
0574070420101009,28955,194
0626007720101009,62176,184
0630046620101009,20636,196
0657067420101009,51607,205
0688065120101009,41917,182
0690050320101009,14011,182
0694025720101009,92746,178
0709006620101009,33833,176
0719066320101009,19329,184
0725071820101009,28756,175
0726074920101009,31454,189
0731036620101009,16073,175
0732031120101009,43195,191
0746025520101009,48016,191
0772023120101009,14335,200
0774004720101009,11963,207
0811069820101009,38081,166
0128038820101013,23601,164
0327032820101014,47561,188
0651076820101014,54955,176
0140036720101015,55106,192
0005051920101016,21645,175
0029075420101016,23955,177
