"Game Code","Play Number","Team Code","Player Code","Attempt","Yards","Blocked","Fair Catch","Touchback","Downed","Out Of Bounds"
0229000920100902,5,229,1008907,1,37,0,0,0,0,0
0229000920100902,11,9,1007982,1,39,0,0,0,0,0
0229000920100902,18,229,1008907,1,51,0,0,0,0,0
0229000920100902,22,9,1007982,1,60,0,0,0,0,0
0229000920100902,26,229,1008907,1,47,0,0,0,0,0
0229000920100902,33,229,1008907,1,50,0,1,0,0,0
0229000920100902,59,9,1007982,1,50,0,0,0,1,0
0229000920100902,63,229,1008907,1,39,0,1,0,0,0
0229000920100902,68,9,1007982,1,39,0,0,0,0,0
0229000920100902,104,229,1008907,1,18,0,0,0,1,0
0229000920100902,113,9,1007982,1,42,0,0,0,0,1
0229000920100902,124,9,1007982,1,65,0,0,0,0,1
0229000920100902,128,229,1008907,1,50,0,0,0,0,0
0229000920100902,132,9,1007982,1,56,0,0,1,0,0
0229000920100902,148,229,1008907,1,56,0,0,0,0,0
0229000920100902,152,9,1007982,1,31,0,0,0,0,1
0654004720100902,33,47,1015507,1,41,0,0,0,1,0
0654004720100902,40,654,1036115,1,42,0,0,0,0,0
0654004720100902,51,47,1015507,1,55,0,0,1,0,0
0654004720100902,57,654,1036115,1,43,0,1,0,0,0
0654004720100902,72,47,1015507,1,55,0,0,1,0,0
0654004720100902,85,654,1036115,1,41,0,0,0,0,0
0654004720100902,113,654,67119,1,0,1,0,0,0,0
0572008620100902,7,86,1031333,1,45,0,0,0,1,0
0572008620100902,11,572,1021278,1,57,0,0,0,0,1
0572008620100902,63,572,1021278,1,38,0,0,0,0,0
0572008620100902,68,86,1031333,1,35,0,0,0,1,0
0572008620100902,94,572,1021278,1,35,0,0,0,0,0
0572008620100902,113,86,1031333,1,30,0,0,0,1,0
0572008620100902,119,572,1021278,1,47,0,0,0,0,0
0572008620100902,131,572,1021278,1,54,0,0,0,1,0
0572008620100902,135,86,1031333,1,62,0,0,0,1,0
0572008620100902,140,572,1021278,1,42,0,1,0,0,0
0572008620100902,144,86,1031333,1,44,0,0,0,1,0
0572008620100902,153,572,1021278,1,30,0,0,0,0,1
0572008620100902,164,86,1031333,1,36,0,0,0,0,0
0572008620100902,177,572,1021278,1,27,0,0,0,1,0
0572008620100902,182,86,1031333,1,42,0,1,0,0,0
0572008620100902,188,572,1021278,1,57,0,0,0,0,1
0270012920100902,5,270,1035437,1,24,0,0,0,0,1
0270012920100902,10,129,1000710,1,41,0,0,0,1,0
0270012920100902,32,270,1035437,1,21,0,0,0,0,1
0270012920100902,40,270,1035437,1,57,0,0,1,0,0
0270012920100902,60,270,1035437,1,-4,0,0,0,0,1
0270012920100902,74,270,1035437,1,53,0,1,0,0,0
0270012920100902,78,129,1000710,1,39,0,1,0,0,0
0270012920100902,112,129,1000710,1,36,0,1,0,0,0
0270012920100902,122,270,1035437,1,35,0,1,0,0,0
0270012920100902,127,129,1000710,1,37,0,1,0,0,0
0270012920100902,133,270,1035437,1,37,0,1,0,0,0
0270012920100902,151,270,1035437,1,42,0,0,0,0,0
0270012920100902,164,270,1035437,1,34,0,1,0,0,0
0270012920100902,178,270,1035437,1,35,0,0,0,0,0
0270012920100902,192,270,1035437,1,33,0,1,0,0,0
0657027720100902,7,277,1024064,1,50,0,0,0,0,0
0657027720100902,45,277,1024064,1,52,0,0,0,0,0
0657027720100902,78,657,1026018,1,36,0,0,0,0,1
0657027720100902,118,657,1026018,1,52,0,0,0,1,0
0657027720100902,127,277,1024064,1,28,0,0,0,0,0
0494029520100902,16,494,1028123,1,46,0,0,0,0,0
0494029520100902,40,494,1028123,1,24,0,0,0,1,0
0494029520100902,45,295,1016473,1,44,0,1,0,0,0
