"Game Code","Date","Visit Team Code","Home Team Code","Stadium Code","Site"
0207046620100902,09/02/2010,207,466,90,TEAM
0228041520100902,09/02/2010,228,415,30,TEAM
0229000920100902,09/02/2010,229,9,2,TEAM
0270012920100902,09/02/2010,270,129,70,TEAM
0388051820100902,09/02/2010,388,518,99,TEAM
0428041920100902,09/02/2010,428,419,116,TEAM
0454033120100902,09/02/2010,454,331,100,TEAM
0485058720100902,09/02/2010,485,587,86,TEAM
0494029520100902,09/02/2010,494,295,43,TEAM
0503031120100902,09/02/2010,503,311,40,TEAM
0545073220100902,09/02/2010,545,732,135,TEAM
0572008620100902,09/02/2010,572,86,91,TEAM
0654004720100902,09/02/2010,654,47,48,TEAM
0655071820100902,09/02/2010,655,718,58,TEAM
0657027720100902,09/02/2010,657,277,39,TEAM
0664064820100902,09/02/2010,664,648,113,TEAM
0711030620100902,09/02/2010,711,306,47,TEAM
1320074920100902,09/02/2010,1320,749,83,TEAM
0029070920100903,09/03/2010,29,709,102,TEAM
0739069020100903,09/03/2010,739,690,109,TEAM
0030003720100904,09/04/2010,30,37,1,TEAM
0071071620100904,09/04/2010,71,716,4,TEAM
0102067420100904,09/04/2010,102,674,19,TEAM
0108010720100904,09/04/2010,108,107,12,TEAM
0110032720100904,09/04/2010,110,327,52,TEAM
0140009620100904,09/04/2010,140,96,13,TEAM
0149076820100904,09/04/2010,149,768,143,TEAM
0157015620100904,09/04/2010,157,156,22,NEUTRAL
0164041820100904,09/04/2010,164,418,66,TEAM
0201031220100904,09/04/2010,201,312,41,TEAM
0301043420100904,09/04/2010,301,434,149,NEUTRAL
0315043320100904,09/04/2010,315,433,76,TEAM
0334036720100904,09/04/2010,334,367,54,TEAM
0365045720100904,09/04/2010,365,457,38,NEUTRAL
0366026120100904,09/04/2010,366,261,60,NEUTRAL
0404043020100904,09/04/2010,404,430,77,TEAM
0414023520100904,09/04/2010,414,235,27,TEAM
0473052920100904,09/04/2010,473,529,108,TEAM
0483062620100904,09/04/2010,483,626,16,TEAM
0493032820100904,09/04/2010,493,328,51,TEAM
0497014720100904,09/04/2010,497,147,112,TEAM
0508072120100904,09/04/2010,508,721,21,TEAM
0509073620100904,09/04/2010,509,736,117,TEAM
0528069820100904,09/04/2010,528,698,155,NEUTRAL
0550002820100904,09/04/2010,550,28,10,TEAM
0559051320100904,09/04/2010,559,513,49,TEAM
0575074620100904,09/04/2010,575,746,137,TEAM
0624005120100904,09/04/2010,624,51,132,TEAM
0625023420100904,09/04/2010,625,234,33,TEAM
0630000820100904,09/04/2010,630,8,5,TEAM
0647025520100904,09/04/2010,647,255,37,TEAM
0650012820100904,09/04/2010,650,128,146,TEAM
0667081120100904,09/04/2010,667,811,144,TEAM
0670028820100904,09/04/2010,670,288,126,TEAM
0671025720100904,09/04/2010,671,257,36,TEAM
0676069720100904,09/04/2010,676,697,120,TEAM
0683065120100904,09/04/2010,683,651,35,TEAM
0688000520100904,09/04/2010,688,5,154,TEAM
0692003120100904,09/04/2010,692,31,6,TEAM
0695069420100904,09/04/2010,695,694,114,TEAM
0703057420100904,09/04/2010,703,574,127,TEAM
0725020420100904,09/04/2010,725,204,71,TEAM
0731052220100904,09/04/2010,731,522,103,TEAM
0754052120100904,09/04/2010,754,521,104,TEAM
0756007720100904,09/04/2010,756,77,134,TEAM
0758006720100904,09/04/2010,758,67,61,TEAM
0769049020100904,09/04/2010,769,490,82,TEAM
0772046320100904,09/04/2010,772,463,84,TEAM
0774041620100904,09/04/2010,774,416,68,TEAM
0796046520100904,09/04/2010,796,465,89,TEAM
0817053920100904,09/04/2010,817,539,111,TEAM
1068019320100904,09/04/2010,1068,193,80,TEAM
2678070420100904,09/04/2010,2678,704,124,TEAM
2915051920100904,09/04/2010,2915,519,95,TEAM
